i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.656,-2.337,0.46,0.789,0.875,0.5,1.0,0.0,0.0,-0.0,0.0,-0.253,0.628,0.117,0.003,4,0.4,300,15,1X+2X
1,3.656,-2.425,0.293,0.789,0.875,0.5,1.0,0.0,0.0,-0.0,0.0,-0.253,0.628,0.117,0.003,4,0.4,300,15,1X+2X
2,3.656,-2.135,0.365,0.789,0.875,0.5,1.0,0.0,0.0,-0.0,0.0,-0.253,0.628,0.117,0.003,4,0.4,300,15,1X+2X
3,3.656,-1.717,0.324,0.789,0.875,0.5,1.0,0.0,0.0,-0.0,0.0,-0.253,0.628,0.117,0.003,4,0.4,300,15,1X+2X
4,3.656,-2.29,0.261,0.789,0.875,0.5,1.0,0.0,0.0,-0.0,0.0,-0.253,0.628,0.117,0.003,4,0.4,300,15,1X+2X
5,4.527,-2.123,0.261,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
6,4.527,-2.097,0.291,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
7,4.527,-1.827,0.411,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
8,4.527,-1.897,0.305,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
9,4.527,-2.427,0.302,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
10,4.527,-2.033,0.23,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
11,4.527,-2.205,0.152,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
12,4.527,-2.053,0.347,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
13,4.527,-1.822,0.182,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
14,4.527,-2.047,0.375,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
15,4.527,-1.877,0.432,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
16,4.527,-2.078,0.325,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
17,4.527,-1.987,0.377,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
18,4.527,-1.915,0.347,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
19,4.527,-1.884,0.222,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
20,4.527,-2.138,0.253,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
21,4.527,-1.672,0.287,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
22,4.527,-1.836,0.184,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
23,4.527,-2.403,0.243,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
24,4.527,-1.737,0.194,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
25,4.527,-2.069,0.181,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
26,4.527,-1.974,0.128,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
27,4.527,-2.481,0.068,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
28,4.527,-2.358,0.151,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
29,4.527,-1.957,0.184,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
30,4.527,-1.87,0.273,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
31,4.527,-1.677,0.278,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
32,4.527,-2.356,0.355,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
33,4.527,-1.867,0.382,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
34,4.527,-1.68,0.328,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
35,4.527,-1.927,0.272,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
36,4.527,-1.79,0.33,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
37,4.527,-1.759,0.284,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
38,4.527,-1.986,0.316,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
39,4.527,-1.765,0.206,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
40,4.527,-2.062,0.259,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
41,4.527,-1.803,0.293,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
42,4.527,-1.639,0.32,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
43,4.527,-1.924,0.181,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
44,4.527,-1.693,0.1,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
45,4.527,-1.929,0.13,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
46,4.527,-1.807,0.206,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
47,4.527,-1.861,0.181,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
48,4.527,-1.758,0.224,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
49,4.527,-1.916,0.117,0.875,0.75,1.0,0.812,0.214,0.0,-0.0,0.0,-0.125,1.0,0.0,0.003,4,0.4,300,15,1X+2X
0,3.239,-2.085,0.418,0.683,0.125,1.0,0.591,0.286,0.0,-0.0,0.0,-0.221,0.54,0.235,0.003,4,0.4,300,15,1X+2X
1,3.239,-2.683,0.235,0.683,0.125,1.0,0.591,0.286,0.0,-0.0,0.0,-0.221,0.54,0.235,0.003,4,0.4,300,15,1X+2X
2,3.239,-2.329,0.203,0.683,0.125,1.0,0.591,0.286,0.0,-0.0,0.0,-0.221,0.54,0.235,0.003,4,0.4,300,15,1X+2X
3,3.488,-1.691,0.278,0.839,0.75,0.5,0.786,0.286,0.0,-0.0,0.0,-0.259,0.432,0.154,0.003,4,0.4,300,15,1X+2X
4,3.488,-2.292,0.164,0.839,0.75,0.5,0.786,0.286,0.0,-0.0,0.0,-0.259,0.432,0.154,0.003,4,0.4,300,15,1X+2X
5,3.622,-1.964,0.272,0.685,0.5,1.0,0.25,0.286,0.0,-0.0,0.0,0.0,0.596,0.305,0.003,4,0.4,300,15,1X+2X
6,3.622,-2.201,0.147,0.685,0.5,1.0,0.25,0.286,0.0,-0.0,0.0,0.0,0.596,0.305,0.003,4,0.4,300,15,1X+2X
7,3.622,-2.161,0.218,0.685,0.5,1.0,0.25,0.286,0.0,-0.0,0.0,0.0,0.596,0.305,0.003,4,0.4,300,15,1X+2X
8,3.622,-1.918,0.251,0.685,0.5,1.0,0.25,0.286,0.0,-0.0,0.0,0.0,0.596,0.305,0.003,4,0.4,300,15,1X+2X
9,3.622,-1.948,0.239,0.685,0.5,1.0,0.25,0.286,0.0,-0.0,0.0,0.0,0.596,0.305,0.003,4,0.4,300,15,1X+2X
10,3.622,-1.978,0.147,0.685,0.5,1.0,0.25,0.286,0.0,-0.0,0.0,0.0,0.596,0.305,0.003,4,0.4,300,15,1X+2X
11,3.622,-1.925,0.191,0.685,0.5,1.0,0.25,0.286,0.0,-0.0,0.0,0.0,0.596,0.305,0.003,4,0.4,300,15,1X+2X
12,3.622,-2.386,0.138,0.685,0.5,1.0,0.25,0.286,0.0,-0.0,0.0,0.0,0.596,0.305,0.003,4,0.4,300,15,1X+2X
13,3.622,-1.894,0.173,0.685,0.5,1.0,0.25,0.286,0.0,-0.0,0.0,0.0,0.596,0.305,0.003,4,0.4,300,15,1X+2X
14,3.826,-1.697,0.246,0.66,0.875,1.0,0.5,0.143,-0.053,-0.0,0.0,-0.144,0.677,0.167,0.003,4,0.4,300,15,1X+2X
15,3.826,-2.017,0.214,0.66,0.875,1.0,0.5,0.143,-0.053,-0.0,0.0,-0.144,0.677,0.167,0.003,4,0.4,300,15,1X+2X
16,3.826,-1.912,0.158,0.66,0.875,1.0,0.5,0.143,-0.053,-0.0,0.0,-0.144,0.677,0.167,0.003,4,0.4,300,15,1X+2X
17,3.826,-1.89,0.241,0.66,0.875,1.0,0.5,0.143,-0.053,-0.0,0.0,-0.144,0.677,0.167,0.003,4,0.4,300,15,1X+2X
18,3.826,-1.822,0.225,0.66,0.875,1.0,0.5,0.143,-0.053,-0.0,0.0,-0.144,0.677,0.167,0.003,4,0.4,300,15,1X+2X
19,3.826,-1.924,0.197,0.66,0.875,1.0,0.5,0.143,-0.053,-0.0,0.0,-0.144,0.677,0.167,0.003,4,0.4,300,15,1X+2X
20,3.826,-2.182,0.14,0.66,0.875,1.0,0.5,0.143,-0.053,-0.0,0.0,-0.144,0.677,0.167,0.003,4,0.4,300,15,1X+2X
