,half,quarter,eighth,16th
half,0.45915923329434616,0.041765889410064025,0.05004443215981038,0.0010708456492083112
quarter,0.1523996261590223,0.46760129450294696,0.11364004290976198,0.02997674016906817
eighth,0.36483309300394196,0.4452790080681737,0.6828009235830915,0.2192947604262282
16th,0.023608047542689647,0.04535380801881533,0.15351460134733613,0.7496576537554953
