,REST,D4,G4,E4,C4,D#4,F#4,F4,A4,B4,C#4,E5,D5,C5,G5,D#5,G#4,C#5,F5,F#5,B5,A5,A#4,C6,G#5,A#5
D4,0.0003684081799776352,0.2849431968242889,3.408168123782609e-12,0.0010354386565378435,0.00501749956769009,0.0014448309677419354,0.08959899416630387,2.9429988913839576e-05,0.0008063365991386646,2.1954578559192233e-13,0.07843135914552736,1.8514184086149377e-15,2.0142375729435816e-05,5.118887277380692e-10,6.220495508477907e-08,0.0,0.00015138221933809216,9.13312177926285e-15,4.089662684634199e-08,0.0002571428571428571,0.0003455210057142856,2.7935401247401234e-05,0.0,0.0037324799999999994,0.0,0.0
E4,5.333952307673802e-06,0.6129855016799037,2.2503379354898867e-07,1.5401927404995603e-05,0.9553276592993827,0.5891035664516129,0.26350346524037566,0.025058517493872223,2.1821591652827744e-06,8.297081410466667e-11,0.006810488651535379,1.222702687518512e-12,0.2989211472166092,9.722257424880202e-11,0.0069268912861839,0.0,0.004844231018818949,3.65324871170514e-14,2.4537976107805182e-08,0.0005142857142857142,3.2248627199999993e-06,0.051846983850311855,0.0,0.00010942123778501624,0.0,0.0
REST,0.0001387372005757723,0.00023724893305995966,1.3352054634403749e-09,5.278923404610914e-07,0.016066662303193202,0.0011438245161290318,0.0010033985198084456,0.0050590835340617295,0.0057773967950229856,1.889319712649693e-08,0.029865100133511343,3.540588011077361e-10,0.000189483265839333,2.623205079303853e-08,0.001070381145164742,0.0030003858520900317,0.24292672290720313,2.6486053159862265e-13,0.00034723866404183187,0.002571428571428571,5.482266623999996e-05,0.0005517241746361744,0.015445544554455444,0.09114016104234528,0.02215384615384615,0.0
G4,0.7729951190671474,0.0006761049328487415,0.24999999901749262,3.196920907058175e-06,0.017252510698314155,0.0006020129032258064,0.4818714915106661,0.9649895611744673,0.5007537183284217,0.4999999530442684,0.00033221895861148187,1.3630580710475847e-08,6.8090578184055296e-06,0.4915256497206279,0.02742055601892795,0.000500064308681672,0.005752524334847501,0.9999999990615176,0.2976132533542624,0.0,3.2248627199999993e-06,6.983850311850311e-05,0.013069306930693072,0.6400273553094463,0.0,0.0
C4,0.000328549778123736,0.005943633870144198,1.0277307769056743e-11,0.0010342133419509014,0.0045544909549293,0.0008227509677419355,0.00017061837178929037,0.0014569028067907084,6.502335147428143e-05,8.103848028318376e-13,0.0031768437917222953,3.6621454655014396e-13,4.15950650931072e-05,7.368996350246358e-12,3.445223603418307e-05,0.000250032154340836,0.0002523036988968202,2.7399365337788576e-14,8.536943650691409e-06,0.0002571428571428571,0.0,0.0,0.0,0.00013677654723127033,0.0,0.0
B4,0.017149228824682727,0.04633631524001927,0.2500000105342094,8.136523610600232e-07,0.00134381352373118,0.00028093935483870965,0.018917080912992094,2.703186849113003e-05,0.0006714343326814599,0.49999999866240574,2.0763684913217617e-05,2.5923685363400506e-11,0.04783567218464394,1.0902871735612584e-09,7.340954558615861e-05,0.0015001929260450159,0.0036836340038935754,3.5233554241778485e-12,0.029635096209615394,0.002571428571428571,6.4497254399999985e-06,0.009359135401247397,0.22455445544554456,0.005814710618892506,0.27876923076923077,0.0
C5,7.745189691743903e-05,0.04841427683581535,0.24999975651116957,0.9976122326351111,3.119491067321716e-05,0.00010033548387096772,0.012456602724050001,9.859995089859207e-05,0.002409243991314223,2.9045362533725468e-08,0.0,0.9999999681382664,0.023194386005314774,4.572611241044407e-08,0.0010331781477398987,0.000250032154340836,0.0005550681375730045,2.7399365337788565e-13,9.960146264944112e-06,0.0010285714285714284,0.95334722486272,0.17102284320997918,0.009504950495049505,0.0005197508794788271,0.0,0.0
F4,4.762998539347304e-06,0.00011636817696649644,2.2925251372542332e-10,4.773374573232355e-07,2.3782244322259893e-05,0.0005217445161290323,0.09377213727221842,0.002964731025891821,9.705650672196037e-06,1.0763838503219055e-13,0.08693985580774365,1.0421622945530783e-12,0.0003109341096364217,9.332557958455985e-13,2.4284752015407394e-05,0.000250032154340836,0.001513822193380921,0.0,2.2084178497024665e-07,0.0,6.4497254399999985e-06,6.9838503118503084e-06,0.002376237623762376,2.735530944625406e-05,0.0,0.0
A4,0.20873886415158652,8.195457381892686e-05,3.681542917808597e-12,0.00028891469044383105,8.829627156803097e-05,0.00026087225806451615,0.007894484980409228,1.3724113405538384e-05,0.4894633393578371,3.788764291652039e-12,0.0008097837116154871,1.9737363870890772e-11,2.1311834486770895e-06,3.342729687884706e-11,3.3175976045215485e-07,0.0012501607717041795,0.3112354747999134,3.105261404949369e-13,6.37987378802935e-07,0.0010285714285714284,3.2248627199999993e-06,4.888695218295217e-05,0.03683168316831684,2.735530944625406e-05,0.0,0.0
F#4,1.765003011523516e-08,1.6929234262925188e-06,1.579569946126818e-08,1.0651978461722412e-06,7.332848856925339e-08,0.000923086451612903,0.02974739264879656,1.796129633011105e-06,2.963904722696183e-07,9.290754195958598e-15,0.0008097837116154871,3.613723753276125e-13,2.9194985626804807e-06,1.9562078489078985e-15,0.0,0.0,0.005146995457495132,2.703404046661806e-12,4.9075952215610364e-08,0.0005142857142857142,0.0,0.0,0.008316831683168316,0.0,0.0,0.0
D5,2.0002923176583324e-05,3.5673557549481914e-05,9.489503136894083e-09,1.758379604832285e-07,5.0077992193636434e-08,0.0,0.00017874305616020895,9.618072074754317e-06,3.0394791843617923e-07,7.84571070140807e-12,0.64,1.4713839939337477e-09,0.6267635040817287,4.829777979416498e-10,0.00016365988574992542,0.26842032154340834,0.00020184295911745617,5.817798573390443e-12,0.007250536887473282,0.16345714285714286,0.002255612313599999,0.00019554780873180867,0.2023762376237624,0.0003556190228013029,0.0,0.0
G5,1.0616854388591157e-06,6.157538938323091e-06,1.4484861965131625e-09,7.340956788175292e-08,7.808246185748641e-05,0.0,4.062342185459294e-06,1.6554190166000966e-08,4.809283924175167e-09,4.755981314597855e-15,0.0,4.3556707121532023e-10,1.4409360890886774e-05,2.0724877779504306e-12,0.0004049827712336685,0.000500064308681672,0.0,9.13312177926285e-15,0.29860612739523745,0.32584761904761905,0.0011754624614399994,0.7054158354095634,0.0,0.031015780065146575,0.03323076923076923,0.0625
F5,3.762933097650422e-05,6.596508281304639e-05,1.0444745895967077e-11,6.154636428873045e-09,5.122198490532475e-05,0.10002006709677419,4.062342185459294e-06,7.857109147307495e-05,1.9924176257297114e-08,6.5699957232125e-13,2.0763684913217617e-05,1.5894737201424418e-08,0.0009380036898372416,2.319250950622511e-12,0.952164782909154,0.40075009646302256,0.0,9.232229549973391e-10,0.0008300678976619862,0.006685714285714285,1.612431359999999e-05,0.0058933350187110175,0.0,0.00030090840390879466,0.005538461538461537,0.0
C6,3.4649498232311198e-06,0.0,1.1585339946939488e-16,4.564738136077313e-12,8.962164217138485e-06,0.0,0.0,0.0,2.290135201988174e-10,2.0240213201604649e-13,0.0,5.26942162451944e-15,6.2249302540089825e-09,1.8269432283448194e-11,1.1621465418219834e-05,0.0,0.0,0.0,1.8905551287471215e-05,0.0005142857142857142,0.012257191315748569,0.004530449563409563,0.0,0.1039470238436482,0.4,0.0
C#4,1.3316789188740298e-08,2.117011963683152e-06,8.804858359674008e-16,5.665467404518431e-06,2.548612102711856e-07,0.00124416,0.0001421819764910753,0.00012127998999348598,6.641392085765708e-09,1.4378548160412114e-15,0.007142707610146862,1.4241680066268755e-16,8.892757505727117e-10,1.1176653101789012e-13,0.0,0.0,0.13398932295046506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
