,quarter,eighth,half,16th
quarter,0.5280247537291817,0.20955788329002126,0.5849968741498873,0.1367938216998188
eighth,0.3448487963643893,0.6367624107663731,0.28688617681409206,0.5117759164544045
half,0.10476857197078514,0.06025344090443075,0.10140908505413894,0.023237328575387597
16th,0.02235787793564389,0.0934262650391749,0.02670786398188173,0.3281929332703891
