,REST,D4,G4,E4,C4,D#4,F#4,F4,A4,B4,C#4,E5,D5,C5,G5,D#5,G#4,C#5,F5,F#5,B5,A5,A#4,C6,G#5,A#5
D4,2.8060770210205116e-27,8.516168025763762e-05,2.1958621640148593e-25,2.9796098592368457e-26,1.9509091694034638e-29,0.01858064516129032,0.00293165694383979,5.299812303440658e-21,3.6832853936826185e-28,1.1241682168979812e-32,0.16518024032042725,9.096704962389554e-05,0.0009213895653765199,2.665571820274482e-31,6.220495508477907e-08,0.05183999999999999,0.20042050616482804,0.00014644067796610168,2.9479556573824426e-13,0.00015428571428571425,0.0,4.6920746901555055e-07,0.0,0.0,0.0,0.0
E4,8.226419699467544e-28,0.014809206547332011,7.528124323648554e-22,1.0544771597167803e-26,0.9999901603545848,0.4598709677419355,0.1282330134958642,8.04327958049632e-18,5.027006890815842e-28,1.1667770847425152e-29,0.05255006675567423,3.6783278212559493e-07,1.1384504074344219e-07,1.4759945012549597e-27,1.8661486525433715e-07,0.0,0.013456197274497083,0.0005857627118644067,2.0937751092296804e-33,0.0003085714285714285,2.7517091320628363e-31,0.00018819129569765382,0.0,1.5003904196724788e-26,0.0,0.0
REST,3.2886047965874364e-27,4.82033983974824e-07,2.5342403057994922e-23,0.6671138443872682,1.3416888309895396e-06,0.014709677419354836,0.0016723308663474095,4.735336461210147e-18,2.5550434136748963e-27,2.5587624951926024e-27,0.030440587449933238,0.049180562823498454,1.5486077965438558e-09,1.7516796482831394e-27,2.9349219363888904e-05,0.001800231511254019,0.008129785853341984,0.004246779661016949,1.5956350401728185e-17,0.0015428571428571425,4.6779055245068145e-30,0.0001398737876730571,0.03119739330154455,1.2217674056337129e-26,0.02215384615384615,0.0
G4,8.198302565148927e-18,0.922242025869471,1.335605754862811e-23,0.3328191870201583,3.440931072632815e-30,0.007741935483870968,0.15066048585111014,2.1116825696493804e-19,3.303748076918866e-26,0.24999999999923414,0.08256341789052069,0.00024422085833017247,1.6556046791118069e-06,8.157573348150512e-31,2.902897903956355e-06,0.0003000385852090032,0.01597923426346528,0.0017572881355932197,2.2889947747656226e-21,0.0,2.7517091320628363e-31,0.00011401741497077881,7.902510130693071e-05,1.5289088008345175e-27,0.0,0.0
C4,8.218839619505169e-26,0.013022926887068605,9.77121926813608e-26,2.591029659208012e-29,1.142276870407618e-27,0.010580645161290324,0.0002843639529821506,6.454060466692292e-20,4.086809754153983e-29,0.49999999999857714,0.024512683578104138,2.4356495032640743e-07,0.16313009522277408,4.404426827425489e-25,3.93964715536934e-07,0.4001500192926045,0.0007008436080467228,0.000439322033898305,1.4004685384960828e-26,0.00015428571428571425,1.8574036641424148e-29,0.0,0.011197439999999996,0.4444444444481649,0.0,0.0
B4,0.0005395996910942813,0.04976746402250849,0.9999999999999999,2.4820448213098882e-27,2.993416976981394e-31,0.0036129032258064514,0.0005890396168915977,3.487090010345959e-23,0.9999999999999999,4.079923707193083e-27,0.0001602136181575434,0.057925853437984634,0.8194762970245163,0.9999999999999999,5.309291045015863e-05,0.072900115755627,0.010232316677482154,0.008493559322033897,0.9999999999997051,0.04474285714285714,3.0117639413768194e-18,4.6920746901555055e-07,0.8799274471464555,3.6301048810600895e-31,0.038769230769230764,0.0
C5,4.8003433490253275e-26,4.071274352628447e-06,1.5419381998792288e-23,7.286189420970687e-29,1.9332627438048542e-28,0.0012903225806451613,0.0001895759686547671,0.64,2.5850328429849574e-26,0.25000000000073863,0.0,0.8558381824208791,0.016456695835547756,5.314511248166643e-25,0.2876601629519848,0.0001500192926045016,0.24154185593770283,0.052393220338983054,1.864861885215542e-26,0.017897142857142855,1.69716246901862e-27,3.7536597521244044e-06,5.747280095049504e-05,3.160639169774333e-26,0.0,0.0
F4,4.969040547656567e-30,4.3867907748126414e-05,1.3154816843592013e-23,1.3201126397456098e-29,8.49795658426334e-06,0.006709677419354839,0.16170403831084024,1.8964482417839267e-20,5.698982192323307e-24,7.030908872598983e-31,0.004165554072096128,9.444355216738247e-08,2.0906205253342057e-10,4.554591178585733e-30,1.4514489519781778e-07,0.0001500192926045016,0.004205061648280337,0.0,8.985901619119984e-26,0.0,5.5034182641256725e-31,1.1730186725388764e-07,1.436820023762376e-05,1.8150524405300447e-31,0.0,0.0
A4,1.4988201256392007e-06,3.245318904193737e-08,2.695769989570035e-23,6.69685925735818e-05,4.882806273133427e-28,0.0033548387096774194,0.013157474967348714,0.3599999999999999,5.7043549071419775e-24,1.027925116926651e-27,0.006248331108144192,8.151969766026699e-07,7.355887033583319e-10,1.7465597199981777e-29,3.3175976045215485e-07,0.0007500964630225076,0.11017261518494484,0.20497898305084747,1.4987552420771126e-30,0.000617142857142857,2.7517091320628363e-31,8.211130707772137e-07,0.002641354143683167,1.8150524405300447e-31,0.0,0.0
F#4,8.966578211992655e-32,1.7844631011663554e-08,2.4710570841645747e-24,4.237926429368532e-29,1.3515053773655848e-33,0.011870967741935485,0.008436130605137135,6.879077565864307e-23,2.8399864393273424e-29,5.9765905202171133e-33,0.006248331108144192,7.45606990795125e-08,3.87151949135964e-11,1.2583965777980585e-33,0.0,0.0,0.21429720960415316,0.00014644067796610168,4.187550218459361e-33,0.0003085714285714285,0.0,0.0,5.028870083168315e-05,0.0,0.0,0.0
