,half,quarter,eighth,16th
half,0.424230748899446,0.06036376126621941,0.012861891000577587,0.011734962340038648
quarter,0.378180260993088,0.4772536908507979,0.20312428154566833,0.12190837788144113
eighth,0.18147131120610388,0.4396147913867135,0.6892530383321585,0.3545312878388187
16th,0.016117678901362023,0.022767756496269213,0.09476078912159568,0.5118253719397015
