,half,quarter,eighth,16th
half,0.6549193683158291,0.07655161689065096,0.018938214799447795,0.017125586876987266
quarter,0.22604382358694047,0.4620499604506396,0.2041983700855939,0.13424581510246694
eighth,0.1056390647479531,0.43895804866605237,0.6831133841948586,0.34313698301084944
16th,0.013397743349277276,0.022440373992657064,0.0937500309200998,0.5054916150096964
