,half,quarter,eighth,16th
half,0.48230399407342506,0.05638470287418593,0.03624926407342004,0.0137975387948388
quarter,0.1533323122266001,0.4057402609809981,0.09895781791449534,0.13311329761625978
eighth,0.35670600591303137,0.5144943729268923,0.8285831264003805,0.34994597517052206
16th,0.007657687786943495,0.02338066321792378,0.03620979161170411,0.5031431884183794
