i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,2.985,-0.485,0.915,0.747,1.0,0.5,0.714,0.0,-0.038,-0.038,0.0,-0.198,0.299,0.0,0.002,4,0.4,500,25,1X+2X
1,3.393,0.156,1.481,0.812,0.625,1.0,0.812,0.143,0.0,-0.0,0.0,-0.25,0.25,0.0,0.002,4,0.4,500,25,1X+2X
2,3.468,0.688,2.002,0.756,0.5,1.0,0.812,0.071,-0.045,-0.0,0.0,-0.388,0.667,0.095,0.002,4,0.4,500,25,1X+2X
3,3.892,1.366,2.415,0.733,0.625,1.0,0.571,0.286,0.0,-0.0,0.0,-0.042,0.483,0.235,0.002,4,0.4,500,25,1X+2X
4,4.384,1.882,2.741,0.833,1.0,1.0,1.0,0.286,-0.067,-0.067,0.0,-0.25,0.429,0.22,0.002,4,0.4,500,25,1X+2X
5,4.384,2.198,3.01,0.833,1.0,1.0,1.0,0.286,-0.067,-0.067,0.0,-0.25,0.429,0.22,0.004,4,0.4,500,25,1X+2X
6,4.384,2.542,3.253,0.833,1.0,1.0,1.0,0.286,-0.067,-0.067,0.0,-0.25,0.429,0.22,0.01,4,0.4,500,25,1X+2X
7,4.384,2.862,3.47,0.833,1.0,1.0,1.0,0.286,-0.067,-0.067,0.0,-0.25,0.429,0.22,0.022,4,0.4,500,25,1X+2X
8,4.451,3.1,3.666,0.783,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.208,0.473,0.118,0.002,4,0.4,500,25,1X+2X
9,4.559,3.27,3.841,0.69,0.75,1.0,1.0,0.286,0.0,-0.0,0.0,-0.232,0.774,0.292,0.002,4,0.4,500,25,1X+2X
10,4.607,3.431,4.001,0.833,0.875,1.0,1.0,0.286,0.0,-0.0,0.0,-0.208,0.543,0.278,0.002,4,0.4,500,25,1X+2X
11,4.697,3.641,4.152,0.76,0.75,1.0,1.0,0.429,0.0,-0.0,0.0,-0.25,0.717,0.291,0.002,4,0.4,500,25,1X+2X
12,5.018,3.83,4.261,1.0,1.0,1.0,1.0,0.143,0.0,-0.0,0.0,-0.125,1.0,0.0,0.002,4,0.4,500,25,1X+2X
13,5.018,3.941,4.354,1.0,1.0,1.0,1.0,0.143,0.0,-0.0,0.0,-0.125,1.0,0.0,0.004,4,0.4,500,25,1X+2X
14,5.018,4.123,4.45,1.0,1.0,1.0,1.0,0.143,0.0,-0.0,0.0,-0.125,1.0,0.0,0.008,4,0.4,500,25,1X+2X
15,5.018,4.238,4.524,1.0,1.0,1.0,1.0,0.143,0.0,-0.0,0.0,-0.125,1.0,0.0,0.016,4,0.4,500,25,1X+2X
16,5.018,4.345,4.595,1.0,1.0,1.0,1.0,0.143,0.0,-0.0,0.0,-0.125,1.0,0.0,0.032,4,0.4,500,25,1X+2X
17,5.048,4.384,4.664,0.792,1.0,1.0,1.0,0.5,-0.053,-0.0,0.0,0.0,0.54,0.268,0.002,4,0.4,500,25,1X+2X
18,5.048,4.45,4.73,0.792,1.0,1.0,1.0,0.5,-0.053,-0.0,0.0,0.0,0.54,0.268,0.004,4,0.4,500,25,1X+2X
19,5.161,4.525,4.785,1.0,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,1.0,0.0,0.002,4,0.4,500,25,1X+2X
20,5.214,4.571,4.834,1.0,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,0.0,1.0,0.0,0.002,4,0.4,500,25,1X+2X
21,5.214,4.607,4.878,1.0,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,0.0,1.0,0.0,0.006,4,0.4,500,25,1X+2X
22,5.214,4.673,4.92,1.0,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,0.0,1.0,0.0,0.016,4,0.4,500,25,1X+2X
23,5.214,4.708,4.958,1.0,1.0,1.0,1.0,0.214,0.0,-0.0,0.0,0.0,1.0,0.0,0.044,4,0.4,500,25,1X+2X
24,5.286,4.798,4.995,1.0,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,0.0,1.0,0.0,0.002,4,0.4,500,25,1X+2X
