,half,quarter,eighth,16th
half,0.3141431264715654,0.10552101600243423,0.006137080835246683,0.007857065454727068
quarter,0.2917850336950597,0.3153467578436566,0.16993635363046067,0.08589429080221395
eighth,0.3612480249674921,0.5612369093934526,0.7242645699413914,0.5940743317244441
16th,0.03282381486588281,0.017895316760456567,0.09966199559290122,0.3121743120186149
