I,I_CONV,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE,SEL_SIZE
500,-1,4.406586951378991,0.40510804546478346,1.8665483455197807,0.40510804546478346,0.5327164682539721,-0.1005,0.212,0.38581413059811204,0.06260000000000046,-0.006651806608655374,-0.00746447001520364,-0.012875,-0.22919316829004277,0.6476827689328233,0.4376420087649891,0.55,8,0.5,1000,50,1X+2X,50
500,-1,4.416222446947845,0.45534454932221563,1.9303386390146626,0.45534454932221563,0.5682188235375746,-0.077375,0.1705,0.40161637278270257,0.052966666666667196,-0.0032885062408680873,-0.007939125086117209,-0.013625,-0.22366221799034325,0.6413852534784141,0.3889293312488458,0.55,8,0.5,1000,50,1X+2X,50
500,-1,4.316810956612404,0.41577959401669545,1.8194577097289992,0.41577959401669545,0.5882666545260273,-0.060625,0.239,0.43021424637845995,0.06306666666666709,-0.0030813795616804313,-0.018115684947697462,-0.014875,-0.23253798770673825,0.6226160756552512,0.4140209197508188,0.55,8,0.5,1000,50,1X+2X,50
500,-1,4.37714685010539,0.45537860189840146,1.815322177343912,0.45537860189840146,0.5488671259296264,-0.08325,0.2715,0.41600308491406734,0.08466666666666678,-0.005808374142998145,-0.006445090477448603,-0.015375,-0.27525661942224394,0.6145670145935511,0.4346135670936196,0.549,8,0.5,1000,50,1X+2X,50
500,-1,4.116659314678448,0.3353716856461603,1.6944786975992465,0.3353716856461603,0.5905478174603157,-0.03,0.2635,0.44753801919857444,0.08750000000000026,-0.005859715079619351,-0.019859545742714913,-0.008125,-0.2271673115079358,0.64059614084934,0.4852179447618162,0.55,8,0.5,1000,50,1X+2X,50
500,-1,4.195071875836128,0.06777492873274818,1.467787898584325,0.06777492873274818,0.5826635253635261,-0.0628125,0.3585,0.4200059450869037,0.08856666666666689,-0.004526445229340061,-0.018734374927333115,-0.018375,-0.2195225371850361,0.6461604102476437,0.6418695243400555,0.55,8,0.5,1000,50,1X+2X,50
500,-1,4.149805152754901,0.2272765661177958,1.6036987230962083,0.2272765661177958,0.6132905802530774,-0.028375,0.3105,0.45683164856719494,0.0911000000000004,-0.005639345009386388,-0.00656456928619051,-0.011125,-0.24272063388000947,0.6298998242855258,0.5196337380785471,0.55,8,0.5,1000,50,1X+2X,50
500,-1,4.068222487206501,0.3412151799569307,1.787950335657012,0.3412151799569307,0.5644473131035599,-0.0344375,0.138,0.46142748402090844,0.06143333333333379,-0.00450464617725034,-0.006922330404243195,-0.009125,-0.2435144314019312,0.6487424934145432,0.5150768223850734,0.55,8,0.5,1000,50,1X+2X,50
500,-1,4.342053167191241,0.43859678979479727,1.7705180779293612,0.43859678979479727,0.5973789380758144,-0.043375,0.2865,0.441453751757248,0.08420000000000029,-0.006384888550331723,-0.007321159252519514,-0.019875,-0.23416313027250535,0.6448133698656717,0.3845572050650443,0.55,8,0.5,1000,50,1X+2X,50
500,-1,4.157022474529914,0.44977549308063713,1.739689996638274,0.44977549308063713,0.5797422799422801,-0.068375,0.281,0.4367363458716212,0.09750000000000045,-0.005803766736183986,-0.0069279063216444664,-0.003625,-0.24632403048340581,0.6437309997425222,0.4009051747524355,0.55,8,0.5,1000,50,1X+2X,50
