,half,quarter,eighth,16th
half,0.4821020563594821,0.09228924614968928,0.02407676833463767,0.0199168687218566
quarter,0.3550393500888551,0.4907626317211564,0.2265075555041993,0.14837448661487454
eighth,0.15467123635440466,0.39599939205620105,0.6540540256629778,0.34868128061754666
16th,0.008187357197258188,0.020948730072953257,0.09536165049818532,0.4830273640457222
