,half,quarter,eighth,16th
half,0.4438398964812105,0.0719756859248654,0.028585603443241438,0.012875321820772277
quarter,0.313777057774605,0.5030041759622151,0.21330357524670662,0.11767513022399474
eighth,0.20202975607471535,0.4024545533819634,0.6697843765201942,0.3892092130875467
16th,0.040353289669469126,0.022565584730956066,0.08832644478985766,0.48024033486768636
