,half,quarter,eighth,16th
half,0.3122430221061232,0.10300658787208145,0.025963518217971937,0.007154718583506791
quarter,0.4577298456446356,0.42660183982414374,0.17577136572656615,0.20414487872784176
eighth,0.18272957126084288,0.3709640180059067,0.6406928644978724,0.2732389434666018
16th,0.047297560988398366,0.09942755429786809,0.15757225155758953,0.5154614592220497
