i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.194,-0.601,0.984,0.833,0.375,1.0,0.727,0.143,0.0,-0.0,0.0,-0.479,0.394,0.2,0.007,4,0.4,300,15,1X+2X
1,3.432,0.18,1.66,0.771,0.5,1.0,0.7,0.214,0.0,-0.091,0.0,-0.062,0.4,0.0,0.003,4,0.4,300,15,1X+2X
2,3.432,0.732,2.23,0.771,0.5,1.0,0.7,0.214,0.0,-0.091,0.0,-0.062,0.4,0.0,0.007,4,0.4,300,15,1X+2X
3,3.975,1.567,2.681,0.903,0.5,1.0,0.75,0.357,0.0,-0.0,0.0,-0.25,0.382,0.333,0.003,4,0.4,300,15,1X+2X
4,3.975,2.165,2.95,0.903,0.5,1.0,0.75,0.357,0.0,-0.0,0.0,-0.25,0.382,0.333,0.007,4,0.4,300,15,1X+2X
5,4.541,2.524,3.199,0.917,1.0,1.0,0.875,0.286,0.0,-0.0,0.0,-0.188,0.451,0.2,0.003,4,0.4,300,15,1X+2X
6,4.541,2.807,3.408,0.917,1.0,1.0,0.875,0.286,0.0,-0.0,0.0,-0.188,0.451,0.2,0.007,4,0.4,300,15,1X+2X
7,4.541,3.055,3.605,0.917,1.0,1.0,0.875,0.286,0.0,-0.0,0.0,-0.188,0.451,0.2,0.013,4,0.4,300,15,1X+2X
8,4.541,3.218,3.773,0.917,1.0,1.0,0.875,0.286,0.0,-0.0,0.0,-0.188,0.451,0.2,0.027,4,0.4,300,15,1X+2X
9,4.579,3.35,3.938,0.917,0.875,1.0,1.0,0.214,0.0,-0.0,0.0,0.0,0.373,0.2,0.003,4,0.4,300,15,1X+2X
10,4.692,3.541,4.076,0.95,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.287,0.417,0.327,0.003,4,0.4,300,15,1X+2X
