,QL,QF,PV,QV,QR,PR,PL
QF,0.7605633802816901,0.0,0.0,0.0,0.8141592920353983,0.9084507042253521,0.6666666666666666
QL,0.22535211267605634,0.0,0.0,0.0,0.18141592920353983,0.08450704225352113,0.3333333333333333
PL,0.014084507042253521,0.0,0.0,0.0,0.004424778761061947,0.007042253521126761,0.0
PV,0.0,0.3810810810810811,0.4389452332657201,0.4358345021037868,0.0,0.0,0.0
QV,0.0,0.518918918918919,0.49898580121703856,0.5021037868162693,0.0,0.0,0.0
QR,0.0,0.032432432432432434,0.040973630831643,0.03962131837307153,0.0,0.0,0.0
PR,0.0,0.06756756756756757,0.021095334685598377,0.02244039270687237,0.0,0.0,0.0
