,half,quarter,eighth,16th
half,0.4821020563594821,0.09228924614968927,0.024076768334637667,0.0199168687218566
quarter,0.35503935008885507,0.4907626317211564,0.22650755550419926,0.14837448661487457
eighth,0.15467123635440466,0.39599939205620105,0.6540540256629778,0.34868128061754666
16th,0.008187357197258188,0.020948730072953257,0.09536165049818532,0.4830273640457222
