,half,quarter,eighth,16th
half,0.1551441711137824,0.023460980104027213,0.021462178105285307,0.006491216607423009
quarter,0.24504360278413617,0.21502963885222667,0.18301486512568116,0.13678648383256048
eighth,0.5522510097040377,0.7512163366328117,0.7767248292549498,0.343601738306014
16th,0.047561216398043754,0.010293044410934385,0.018798127514083728,0.5131205612540025
