i,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.392,-1.395,0.894,0.696,0.613,0.625,1.0,0.7,0.1,0.0,-0.041,0.0,-0.182,0.441,0.136,0.001,8,0.5,1000,50,1X+2X
1,3.392,-1.087,1.293,1.389,0.613,0.625,1.0,0.7,0.1,0.0,-0.041,0.0,-0.182,0.441,0.136,0.001,8,0.5,1000,50,1X+2X
2,3.392,-1.174,1.651,1.853,0.613,0.625,1.0,0.7,0.1,0.0,-0.041,0.0,-0.182,0.441,0.136,0.001,8,0.5,1000,50,1X+2X
3,3.475,-1.506,1.8,2.093,0.672,0.688,1.0,0.654,0.133,-0.023,-0.023,0.0,-0.204,0.438,0.14,0.001,8,0.5,1000,50,1X+2X
4,3.621,-1.113,1.988,2.313,0.831,0.562,1.0,0.775,0.2,-0.032,-0.0,0.0,-0.208,0.29,0.202,0.001,8,0.5,1000,50,1X+2X
5,3.937,-0.774,2.124,2.498,0.833,0.875,1.0,0.825,0.133,0.0,-0.0,-0.125,-0.125,0.447,0.074,0.001,8,0.5,1000,50,1X+2X
6,3.994,-1.025,2.244,2.66,0.778,0.812,1.0,0.833,0.167,0.0,-0.0,0.0,-0.111,0.379,0.136,0.001,8,0.5,1000,50,1X+2X
7,4.036,-0.876,2.383,2.834,0.735,0.75,1.0,0.812,0.167,0.0,-0.0,0.0,-0.111,0.501,0.182,0.001,8,0.5,1000,50,1X+2X
8,4.073,-1.004,2.482,2.971,0.914,0.875,1.0,0.917,0.167,0.0,-0.036,0.0,-0.2,0.248,0.188,0.001,8,0.5,1000,50,1X+2X
9,4.073,-1.436,2.556,3.096,0.914,0.875,1.0,0.917,0.167,0.0,-0.036,0.0,-0.2,0.248,0.188,0.001,8,0.5,1000,50,1X+2X
10,4.415,-1.11,2.676,3.223,0.726,0.75,1.0,1.0,0.2,0.0,-0.0,0.0,-0.123,0.736,0.126,0.001,8,0.5,1000,50,1X+2X
11,4.415,-1.008,2.753,3.344,0.726,0.75,1.0,1.0,0.2,0.0,-0.0,0.0,-0.123,0.736,0.126,0.001,8,0.5,1000,50,1X+2X
12,4.415,-1.324,2.859,3.478,0.726,0.75,1.0,1.0,0.2,0.0,-0.0,0.0,-0.123,0.736,0.126,0.001,8,0.5,1000,50,1X+2X
13,4.415,-0.842,2.928,3.572,0.726,0.75,1.0,1.0,0.2,0.0,-0.0,0.0,-0.123,0.736,0.126,0.001,8,0.5,1000,50,1X+2X
14,4.415,-1.4,2.981,3.668,0.726,0.75,1.0,1.0,0.2,0.0,-0.0,0.0,-0.123,0.736,0.126,0.001,8,0.5,1000,50,1X+2X
15,4.453,-1.24,3.044,3.74,0.81,0.625,1.0,1.0,0.267,-0.022,-0.0,0.0,-0.227,0.868,0.133,0.001,8,0.5,1000,50,1X+2X
16,4.455,-1.094,3.104,3.824,0.858,0.938,1.0,0.795,0.133,0.0,-0.0,0.0,-0.183,0.727,0.188,0.001,8,0.5,1000,50,1X+2X
17,4.491,-0.979,3.195,3.894,0.856,0.938,1.0,0.906,0.433,0.0,-0.0,0.0,-0.308,0.45,0.216,0.001,8,0.5,1000,50,1X+2X
18,4.573,-1.093,3.215,3.952,0.779,0.938,1.0,0.875,0.167,-0.025,-0.0,0.0,-0.12,0.801,0.159,0.001,8,0.5,1000,50,1X+2X
19,4.632,-1.079,3.238,4.005,0.869,1.0,1.0,0.864,0.2,0.0,-0.0,0.0,-0.183,0.716,0.168,0.001,8,0.5,1000,50,1X+2X
20,4.711,-1.197,3.259,4.065,0.862,1.0,1.0,0.929,0.1,-0.029,-0.0,0.0,-0.177,0.822,0.205,0.001,8,0.5,1000,50,1X+2X
21,4.711,-1.322,3.327,4.11,0.862,1.0,1.0,0.929,0.1,-0.029,-0.0,0.0,-0.177,0.822,0.205,0.001,8,0.5,1000,50,1X+2X
22,4.745,-1.364,3.368,4.148,0.848,0.938,1.0,0.912,0.233,0.0,-0.0,0.0,-0.234,0.701,0.347,0.001,8,0.5,1000,50,1X+2X
23,4.778,-0.768,3.398,4.192,0.825,0.938,1.0,1.0,0.4,-0.023,-0.0,0.0,-0.167,0.656,0.148,0.001,8,0.5,1000,50,1X+2X
24,4.778,-0.716,3.417,4.236,0.825,0.938,1.0,1.0,0.4,-0.023,-0.0,0.0,-0.167,0.656,0.148,0.001,8,0.5,1000,50,1X+2X
25,4.778,-1.013,3.455,4.279,0.825,0.938,1.0,1.0,0.4,-0.023,-0.0,0.0,-0.167,0.656,0.148,0.002,8,0.5,1000,50,1X+2X
26,4.824,-1.229,3.47,4.322,0.775,0.938,1.0,1.0,0.233,0.0,-0.0,0.0,-0.054,0.719,0.212,0.001,8,0.5,1000,50,1X+2X
27,4.824,-0.893,3.512,4.362,0.775,0.938,1.0,1.0,0.233,0.0,-0.0,0.0,-0.054,0.719,0.212,0.001,8,0.5,1000,50,1X+2X
28,4.938,-1.036,3.549,4.397,0.83,0.938,1.0,1.0,0.4,-0.024,-0.0,0.0,-0.113,0.74,0.169,0.001,8,0.5,1000,50,1X+2X
29,4.938,-0.727,3.578,4.428,0.83,0.938,1.0,1.0,0.4,-0.024,-0.0,0.0,-0.113,0.74,0.169,0.001,8,0.5,1000,50,1X+2X
30,4.95,-0.838,3.604,4.457,0.759,0.938,1.0,1.0,0.467,-0.022,-0.022,0.0,-0.064,0.619,0.276,0.001,8,0.5,1000,50,1X+2X
31,5.007,-0.718,3.625,4.489,0.742,0.75,1.0,1.0,0.433,0.0,-0.0,0.0,-0.146,0.902,0.326,0.001,8,0.5,1000,50,1X+2X
32,5.007,-1.313,3.653,4.514,0.742,0.75,1.0,1.0,0.433,0.0,-0.0,0.0,-0.146,0.902,0.326,0.001,8,0.5,1000,50,1X+2X
33,5.007,-0.51,3.659,4.546,0.742,0.75,1.0,1.0,0.433,0.0,-0.0,0.0,-0.146,0.902,0.326,0.001,8,0.5,1000,50,1X+2X
34,5.073,-0.844,3.677,4.572,0.703,1.0,1.0,1.0,0.3,-0.023,-0.0,0.0,-0.074,0.803,0.365,0.001,8,0.5,1000,50,1X+2X
35,5.073,-0.594,3.702,4.6,0.703,1.0,1.0,1.0,0.3,-0.023,-0.0,0.0,-0.074,0.803,0.365,0.001,8,0.5,1000,50,1X+2X
36,5.148,-0.725,3.73,4.628,0.78,1.0,1.0,1.0,0.4,0.0,-0.0,0.0,-0.071,0.787,0.252,0.001,8,0.5,1000,50,1X+2X
37,5.188,-0.868,3.749,4.655,0.769,1.0,1.0,1.0,0.4,0.0,-0.0,0.0,-0.036,0.772,0.282,0.001,8,0.5,1000,50,1X+2X
38,5.188,-0.649,3.769,4.683,0.769,1.0,1.0,1.0,0.4,0.0,-0.0,0.0,-0.036,0.772,0.282,0.001,8,0.5,1000,50,1X+2X
39,5.188,-0.994,3.788,4.712,0.769,1.0,1.0,1.0,0.4,0.0,-0.0,0.0,-0.036,0.772,0.282,0.001,8,0.5,1000,50,1X+2X
40,5.188,-1.03,3.805,4.742,0.769,1.0,1.0,1.0,0.4,0.0,-0.0,0.0,-0.036,0.772,0.282,0.001,8,0.5,1000,50,1X+2X
41,5.357,-0.926,3.83,4.775,0.707,1.0,1.0,1.0,0.433,0.0,-0.0,0.0,-0.113,0.923,0.406,0.001,8,0.5,1000,50,1X+2X
42,5.357,-0.457,3.852,4.803,0.707,1.0,1.0,1.0,0.433,0.0,-0.0,0.0,-0.113,0.923,0.406,0.001,8,0.5,1000,50,1X+2X
43,5.357,-0.588,3.865,4.823,0.707,1.0,1.0,1.0,0.433,0.0,-0.0,0.0,-0.113,0.923,0.406,0.001,8,0.5,1000,50,1X+2X
44,5.4,-0.509,3.903,4.849,0.743,1.0,1.0,1.0,0.433,-0.021,-0.0,0.0,-0.089,0.933,0.4,0.001,8,0.5,1000,50,1X+2X
45,5.4,-1.048,3.906,4.878,0.743,1.0,1.0,1.0,0.433,-0.021,-0.0,0.0,-0.089,0.933,0.4,0.001,8,0.5,1000,50,1X+2X
46,5.4,-0.712,3.924,4.9,0.743,1.0,1.0,1.0,0.433,-0.021,-0.0,0.0,-0.089,0.933,0.4,0.001,8,0.5,1000,50,1X+2X
47,5.4,-1.088,3.899,4.927,0.743,1.0,1.0,1.0,0.433,-0.021,-0.0,0.0,-0.089,0.933,0.4,0.001,8,0.5,1000,50,1X+2X
48,5.4,-0.721,3.965,4.949,0.743,1.0,1.0,1.0,0.433,-0.021,-0.0,0.0,-0.089,0.933,0.4,0.001,8,0.5,1000,50,1X+2X
49,5.4,-0.942,3.977,4.972,0.743,1.0,1.0,1.0,0.433,-0.021,-0.0,0.0,-0.089,0.933,0.4,0.001,8,0.5,1000,50,1X+2X
50,5.4,-0.733,4.012,5.004,0.743,1.0,1.0,1.0,0.433,-0.021,-0.0,0.0,-0.089,0.933,0.4,0.002,8,0.5,1000,50,1X+2X
51,5.4,-0.695,4.012,5.032,0.743,1.0,1.0,1.0,0.433,-0.021,-0.0,0.0,-0.089,0.933,0.4,0.004,8,0.5,1000,50,1X+2X
52,5.4,-0.672,4.028,5.059,0.743,1.0,1.0,1.0,0.433,-0.021,-0.0,0.0,-0.089,0.933,0.4,0.004,8,0.5,1000,50,1X+2X
53,5.4,-0.826,4.055,5.075,0.743,1.0,1.0,1.0,0.433,-0.021,-0.0,0.0,-0.089,0.933,0.4,0.005,8,0.5,1000,50,1X+2X
54,5.493,-0.614,4.081,5.103,0.725,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.071,0.933,0.439,0.001,8,0.5,1000,50,1X+2X
55,5.493,-1.24,4.118,5.126,0.725,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.071,0.933,0.439,0.001,8,0.5,1000,50,1X+2X
56,5.493,-0.402,4.111,5.145,0.725,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.071,0.933,0.439,0.002,8,0.5,1000,50,1X+2X
57,5.493,-0.548,4.119,5.172,0.725,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.071,0.933,0.439,0.002,8,0.5,1000,50,1X+2X
58,5.493,-0.535,4.139,5.189,0.725,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.071,0.933,0.439,0.004,8,0.5,1000,50,1X+2X
59,5.493,-0.474,4.156,5.211,0.725,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.071,0.933,0.439,0.004,8,0.5,1000,50,1X+2X
60,5.493,-1.005,4.146,5.229,0.725,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.071,0.933,0.439,0.005,8,0.5,1000,50,1X+2X
61,5.493,-1.001,4.169,5.24,0.725,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.071,0.933,0.439,0.005,8,0.5,1000,50,1X+2X
62,5.493,-0.665,4.197,5.26,0.725,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.071,0.933,0.439,0.005,8,0.5,1000,50,1X+2X
63,5.513,-0.531,4.207,5.271,0.708,1.0,1.0,1.0,0.433,0.0,-0.0,0.0,-0.089,0.868,0.593,0.001,8,0.5,1000,50,1X+2X
64,5.537,-0.575,4.207,5.287,0.696,1.0,1.0,1.0,0.433,0.0,-0.0,0.0,-0.089,0.957,0.539,0.001,8,0.5,1000,50,1X+2X
65,5.587,-0.501,4.233,5.297,0.696,1.0,1.0,1.0,0.433,0.0,-0.0,0.0,-0.107,0.957,0.606,0.001,8,0.5,1000,50,1X+2X
66,5.699,-0.471,4.228,5.31,0.732,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.107,0.957,0.65,0.001,8,0.5,1000,50,1X+2X
67,5.699,-1.023,4.219,5.332,0.732,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.107,0.957,0.65,0.001,8,0.5,1000,50,1X+2X
68,5.714,-0.483,4.258,5.347,0.714,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.089,0.957,0.665,0.001,8,0.5,1000,50,1X+2X
69,5.714,-0.645,4.24,5.361,0.714,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.089,0.957,0.665,0.001,8,0.5,1000,50,1X+2X
70,5.714,-0.663,4.265,5.376,0.714,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.089,0.957,0.665,0.002,8,0.5,1000,50,1X+2X
71,5.714,-1.272,4.266,5.39,0.714,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.089,0.957,0.665,0.002,8,0.5,1000,50,1X+2X
72,5.714,-0.535,4.289,5.4,0.714,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.089,0.957,0.665,0.003,8,0.5,1000,50,1X+2X
73,5.714,-0.573,4.293,5.411,0.714,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.089,0.957,0.665,0.003,8,0.5,1000,50,1X+2X
74,5.714,-0.434,4.308,5.433,0.714,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.089,0.957,0.665,0.003,8,0.5,1000,50,1X+2X
75,5.714,-0.462,4.311,5.456,0.714,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.089,0.957,0.665,0.003,8,0.5,1000,50,1X+2X
