i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
39,5.328,4.614,5.098,0.732,1.0,1.0,1.0,0.5,-0.048,-0.0,0.0,-0.036,0.79,0.389,0.002,4,0.4,1000,50,UX
40,5.328,4.614,5.12,0.732,1.0,1.0,1.0,0.5,-0.048,-0.0,0.0,-0.036,0.79,0.389,0.001,4,0.4,1000,50,UX
41,5.328,4.614,5.137,0.732,1.0,1.0,1.0,0.5,-0.048,-0.0,0.0,-0.036,0.79,0.389,0.005,4,0.4,1000,50,UX
42,5.328,4.614,5.15,0.732,1.0,1.0,1.0,0.5,-0.048,-0.0,0.0,-0.036,0.79,0.389,0.006,4,0.4,1000,50,UX
43,5.328,4.705,5.165,0.732,1.0,1.0,1.0,0.5,-0.048,-0.0,0.0,-0.036,0.79,0.389,0.009,4,0.4,1000,50,UX
44,5.354,4.784,5.176,0.732,1.0,1.0,1.0,0.5,-0.048,-0.0,0.0,-0.036,0.816,0.389,0.014,4,0.4,1000,50,UX
45,5.354,4.788,5.19,0.732,1.0,1.0,1.0,0.5,-0.048,-0.0,0.0,-0.036,0.816,0.389,0.023,4,0.4,1000,50,UX
46,5.354,4.788,5.199,0.732,1.0,1.0,1.0,0.5,-0.048,-0.0,0.0,-0.036,0.816,0.389,0.031,4,0.4,1000,50,UX
47,5.354,4.788,5.21,0.732,1.0,1.0,1.0,0.5,-0.048,-0.0,0.0,-0.036,0.816,0.389,0.044,4,0.4,1000,50,UX
48,5.382,4.788,5.221,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.748,0.412,0.055,4,0.4,1000,50,UX
49,5.382,4.788,5.231,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.748,0.412,0.077,4,0.4,1000,50,UX
50,5.45,4.788,5.241,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.644,0.625,0.002,4,0.4,1000,50,UX
51,5.45,4.833,5.25,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.644,0.625,0.003,4,0.4,1000,50,UX
52,5.45,4.903,5.261,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.644,0.625,0.005,4,0.4,1000,50,UX
53,5.45,4.903,5.272,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.644,0.625,0.007,4,0.4,1000,50,UX
54,5.45,4.903,5.28,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.644,0.625,0.008,4,0.4,1000,50,UX
55,5.45,4.903,5.289,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.644,0.625,0.011,4,0.4,1000,50,UX
56,5.45,4.903,5.299,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.644,0.625,0.015,4,0.4,1000,50,UX
57,5.45,4.903,5.306,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.644,0.625,0.019,4,0.4,1000,50,UX
58,5.45,4.903,5.312,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.644,0.625,0.021,4,0.4,1000,50,UX
59,5.508,4.909,5.321,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.056,4,0.4,1000,50,UX
60,5.508,4.909,5.328,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.052,4,0.4,1000,50,UX
61,5.508,4.909,5.336,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.057,4,0.4,1000,50,UX
62,5.508,5.193,5.344,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.059,4,0.4,1000,50,UX
63,5.508,5.193,5.352,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.06,4,0.4,1000,50,UX
64,5.508,5.193,5.359,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.058,4,0.4,1000,50,UX
65,5.508,5.193,5.367,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.056,4,0.4,1000,50,UX
66,5.508,5.239,5.374,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.059,4,0.4,1000,50,UX
67,5.508,5.239,5.382,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.053,4,0.4,1000,50,UX
68,5.508,5.258,5.389,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.042,4,0.4,1000,50,UX
69,5.508,5.26,5.395,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.039,4,0.4,1000,50,UX
70,5.508,5.26,5.402,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.034,4,0.4,1000,50,UX
71,5.508,5.26,5.407,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.028,4,0.4,1000,50,UX
72,5.508,5.26,5.412,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.024,4,0.4,1000,50,UX
73,5.508,5.26,5.416,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.02,4,0.4,1000,50,UX
74,5.508,5.26,5.421,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.02,4,0.4,1000,50,UX
75,5.508,5.26,5.425,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.023,4,0.4,1000,50,UX
76,5.508,5.26,5.427,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.025,4,0.4,1000,50,UX
77,5.508,5.26,5.431,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.033,4,0.4,1000,50,UX
78,5.508,5.26,5.434,0.704,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.874,0.412,0.044,4,0.4,1000,50,UX
79,5.617,5.26,5.437,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.349,4,0.4,1000,50,UX
80,5.617,5.26,5.44,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.365,4,0.4,1000,50,UX
81,5.617,5.26,5.444,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.377,4,0.4,1000,50,UX
82,5.617,5.26,5.448,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.389,4,0.4,1000,50,UX
83,5.617,5.26,5.451,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.398,4,0.4,1000,50,UX
84,5.617,5.26,5.456,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.398,4,0.4,1000,50,UX
85,5.617,5.26,5.461,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.393,4,0.4,1000,50,UX
86,5.617,5.26,5.465,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.389,4,0.4,1000,50,UX
87,5.617,5.26,5.471,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.371,4,0.4,1000,50,UX
88,5.617,5.26,5.476,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.337,4,0.4,1000,50,UX
89,5.617,5.26,5.482,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.316,4,0.4,1000,50,UX
90,5.617,5.26,5.488,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.276,4,0.4,1000,50,UX
91,5.617,5.26,5.493,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.228,4,0.4,1000,50,UX
92,5.617,5.26,5.497,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.2,4,0.4,1000,50,UX
93,5.617,5.263,5.501,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.177,4,0.4,1000,50,UX
94,5.617,5.263,5.502,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.148,4,0.4,1000,50,UX
95,5.617,5.263,5.504,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.131,4,0.4,1000,50,UX
96,5.617,5.263,5.506,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.008,4,0.4,1000,50,UX
97,5.617,5.263,5.508,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.008,4,0.4,1000,50,UX
98,5.617,5.263,5.51,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.006,4,0.4,1000,50,UX
99,5.617,5.263,5.511,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.091,4,0.4,1000,50,UX
100,5.617,5.263,5.512,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.007,4,0.4,1000,50,UX
101,5.617,5.354,5.514,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.089,4,0.4,1000,50,UX
102,5.617,5.354,5.515,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.094,4,0.4,1000,50,UX
103,5.617,5.426,5.516,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.1,4,0.4,1000,50,UX
104,5.617,5.426,5.518,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.107,4,0.4,1000,50,UX
105,5.617,5.426,5.519,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.115,4,0.4,1000,50,UX
106,5.617,5.426,5.52,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.017,4,0.4,1000,50,UX
107,5.617,5.426,5.522,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.133,4,0.4,1000,50,UX
108,5.617,5.426,5.523,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.149,4,0.4,1000,50,UX
109,5.617,5.426,5.525,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.167,4,0.4,1000,50,UX
110,5.617,5.426,5.527,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.181,4,0.4,1000,50,UX
111,5.617,5.426,5.529,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.199,4,0.4,1000,50,UX
112,5.617,5.426,5.53,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.21,4,0.4,1000,50,UX
113,5.617,5.426,5.533,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.028,4,0.4,1000,50,UX
114,5.617,5.426,5.537,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.03,4,0.4,1000,50,UX
115,5.617,5.426,5.539,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.276,4,0.4,1000,50,UX
116,5.617,5.426,5.541,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.292,4,0.4,1000,50,UX
117,5.617,5.426,5.544,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.313,4,0.4,1000,50,UX
118,5.617,5.426,5.548,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.345,4,0.4,1000,50,UX
119,5.617,5.426,5.551,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.373,4,0.4,1000,50,UX
120,5.617,5.426,5.553,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.391,4,0.4,1000,50,UX
121,5.617,5.426,5.557,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.421,4,0.4,1000,50,UX
122,5.617,5.426,5.56,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.438,4,0.4,1000,50,UX
123,5.617,5.426,5.563,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.456,4,0.4,1000,50,UX
124,5.617,5.472,5.567,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.49,4,0.4,1000,50,UX
125,5.617,5.472,5.57,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.056,4,0.4,1000,50,UX
126,5.617,5.472,5.574,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.548,4,0.4,1000,50,UX
127,5.617,5.472,5.576,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.569,4,0.4,1000,50,UX
128,5.617,5.472,5.579,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.599,4,0.4,1000,50,UX
129,5.617,5.472,5.581,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.626,4,0.4,1000,50,UX
130,5.617,5.472,5.584,0.662,1.0,1.0,1.0,0.571,-0.053,-0.0,0.0,0.0,0.811,0.625,0.654,4,0.4,1000,50,UX
