I,I_CONV,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE,SEL_SIZE
500,-1,2.2823769795894466,0.03918683626351146,0.4931789490979777,0.03918683626351146,0.38293921599234226,-0.18175,-0.991,0.08440584830760928,0.03376666666666667,-0.04825646216373315,-0.00738921806394012,-0.083125,-0.02511876040626034,0.397678551521057,0.3840341415217073,0.355,8,0.5,1000,50,1X+2X,50
500,-1,2.194597293769488,0.05193079321482694,0.45645118575170013,0.05193079321482694,0.3542228805916313,-0.2295625,-0.9685,0.041326000312392426,0.014299999999999972,-0.05198990407887371,-0.02086292434828581,-0.0845,-0.003607147366522364,0.4004759026884076,0.42117250546454016,0.051,8,0.5,1000,50,1X+2X,50
