,half,quarter,eighth,16th
half,0.13691825900472987,0.08133342361060332,0.062285011393657996,0.0038819712965922027
quarter,0.7995780415054822,0.4783612394427742,0.18716026890130216,0.09802264953424325
eighth,0.05484858529272432,0.3863278472888805,0.6100066792195922,0.27304374935545883
16th,0.008655114197063652,0.05397748965774206,0.14054804048544775,0.6250516298137058
