i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
71,1.045,-3.131,-1.05,0.445,-0.25,0.5,0.083,0.143,-0.048,-0.048,0.0,-0.226,0.445,0.0,0.032,4,0.4,1000,50,NONE
72,0.851,-2.529,-1.534,0.305,-0.375,0.5,0.0,0.071,-0.038,-0.038,0.0,-0.163,0.589,0.0,0.016,4,0.4,1000,50,NONE
73,0.849,-2.36,-1.432,0.452,-0.25,0.5,0.0,0.0,0.0,-0.056,0.0,-0.125,0.327,0.0,0.024,4,0.4,1000,50,NONE
74,0.88,-2.81,-1.634,0.263,-0.25,0.5,0.083,0.0,0.0,-0.0,0.0,-0.125,0.409,0.0,0.001,4,0.4,1000,50,NONE
75,1.355,-2.638,-1.49,0.465,0.375,0.5,0.125,0.0,0.0,-0.238,0.0,-0.227,0.355,0.0,0.008,4,0.4,1000,50,NONE
76,0.69,-2.451,-1.456,0.35,-0.25,0.5,0.083,0.0,0.0,-0.0,-0.25,-0.221,0.478,0.0,0.004,4,0.4,1000,50,NONE
77,0.69,-2.613,-1.427,0.35,-0.25,0.5,0.083,0.0,0.0,-0.0,-0.25,-0.221,0.478,0.0,0.008,4,0.4,1000,50,NONE
78,1.915,-2.625,-1.513,0.412,-0.125,0.5,0.4,0.143,0.0,-0.0,0.0,-0.121,0.415,0.292,0.001,4,0.4,1000,50,NONE
79,1.915,-2.622,-1.465,0.412,-0.125,0.5,0.4,0.143,0.0,-0.0,0.0,-0.121,0.415,0.292,0.002,4,0.4,1000,50,NONE
80,0.912,-3.038,-1.799,0.142,-0.125,1.0,0.0,0.0,0.0,-0.15,-0.25,-0.175,0.47,0.0,0.004,4,0.4,1000,50,NONE
81,1.229,-2.821,-1.76,0.487,-0.125,0.5,0.143,0.0,0.0,-0.0,0.0,-0.225,0.449,0.0,0.016,4,0.4,1000,50,NONE
82,1.676,-3.137,-1.839,0.308,0.0,0.5,0.625,0.0,0.0,-0.091,0.0,-0.062,0.396,0.0,0.005,4,0.4,1000,50,NONE
83,1.435,-3.193,-1.765,0.525,0.0,0.5,0.3,0.143,-0.062,-0.188,0.0,-0.05,0.267,0.0,0.016,4,0.4,1000,50,NONE
84,0.89,-2.858,-1.543,0.4,-0.375,0.5,0.214,0.0,-0.062,-0.125,0.0,0.0,0.338,0.0,0.06,4,0.4,1000,50,NONE
85,0.544,-3.143,-1.942,0.283,0.0,0.5,0.0,0.0,0.0,-0.1,0.0,-0.244,0.105,0.0,0.008,4,0.4,1000,50,NONE
86,0.731,-2.976,-1.668,0.275,-0.375,0.5,0.0,0.0,-0.043,-0.13,0.0,-0.086,0.437,0.154,0.001,4,0.4,1000,50,NONE
87,0.206,-2.873,-1.628,0.317,-0.25,0.5,-0.357,0.214,0.0,-0.111,-0.25,-0.092,0.235,0.0,0.001,4,0.4,1000,50,NONE
88,0.547,-3.359,-1.904,0.367,0.0,0.5,-0.143,0.214,0.0,-0.167,-0.25,-0.092,0.118,0.0,0.002,4,0.4,1000,50,NONE
89,0.511,-2.631,-1.686,0.268,-0.125,0.5,-0.25,0.143,0.0,-0.083,0.0,-0.202,0.261,0.0,0.004,4,0.4,1000,50,NONE
90,0.76,-2.859,-1.541,0.46,0.0,0.5,-0.167,0.143,-0.043,-0.043,-0.25,-0.165,0.326,0.0,0.004,4,0.4,1000,50,NONE
91,0.524,-2.68,-1.499,0.461,0.25,-1.0,0.417,0.0,0.0,-0.0,0.0,-0.077,0.474,0.0,0.004,4,0.4,1000,50,NONE
92,1.073,-2.36,-1.641,0.417,-0.25,0.5,0.125,0.0,0.0,-0.045,0.0,-0.19,0.384,0.133,0.004,4,0.4,1000,50,NONE
93,0.933,-3.38,-1.56,0.417,-0.25,0.5,0.125,0.0,-0.045,-0.045,0.0,-0.19,0.423,0.0,0.008,4,0.4,1000,50,NONE
94,0.801,-2.833,-1.74,0.375,-0.125,0.5,0.0,0.0,-0.067,-0.133,0.0,-0.05,0.301,0.0,0.016,4,0.4,1000,50,NONE
95,0.971,-3.479,-1.815,0.255,-0.5,0.5,0.4,0.143,-0.095,-0.095,0.0,-0.086,0.45,0.0,0.001,4,0.4,1000,50,NONE
96,0.818,-3.417,-2.173,0.255,-0.625,0.5,0.3,0.143,-0.091,-0.091,0.0,-0.136,0.381,0.182,0.002,4,0.4,1000,50,NONE
97,0.883,-3.176,-1.947,0.438,0.25,0.5,-0.167,0.143,-0.071,-0.071,-0.25,-0.042,0.154,0.0,0.02,4,0.4,1000,50,NONE
98,1.0,-3.003,-1.795,0.404,-0.125,0.5,0.0,0.143,-0.118,-0.059,0.0,0.0,0.254,0.0,0.016,4,0.4,1000,50,NONE
99,0.487,-2.635,-1.786,0.207,-0.625,0.5,0.3,0.0,-0.091,-0.091,0.0,-0.142,0.429,0.0,0.008,4,0.4,1000,50,NONE
