,half,quarter,eighth,16th
half,0.4077567290519123,0.06392977970004006,0.016129572175726508,0.020663329224741553
quarter,0.23349666636406433,0.4793765232725517,0.1640033715214164,0.08288539795945221
eighth,0.29076931293751773,0.4379195294615057,0.7545635475496899,0.35051623763256257
16th,0.06797729164650565,0.018774167565902493,0.06530350875316718,0.5459350351832437
