i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.578,-0.453,0.954,0.691,0.125,1.0,1.0,0.143,0.0,-0.043,0.0,-0.175,0.733,0.105,0.003,4,0.4,300,15,1X+2X
1,3.578,0.182,1.572,0.691,0.125,1.0,1.0,0.143,0.0,-0.043,0.0,-0.175,0.733,0.105,0.007,4,0.4,300,15,1X+2X
2,3.578,0.661,2.125,0.691,0.125,1.0,1.0,0.143,0.0,-0.043,0.0,-0.175,0.733,0.105,0.013,4,0.4,300,15,1X+2X
3,3.726,1.269,2.508,0.729,0.875,1.0,0.591,0.286,-0.071,-0.071,0.0,-0.125,0.513,0.0,0.003,4,0.4,300,15,1X+2X
4,3.974,1.869,2.833,0.837,1.0,0.5,1.0,0.429,-0.053,-0.053,0.0,-0.276,0.368,0.222,0.003,4,0.4,300,15,1X+2X
5,4.088,2.28,3.109,0.854,0.75,1.0,0.833,0.357,-0.067,-0.0,0.0,-0.354,0.714,0.0,0.003,4,0.4,300,15,1X+2X
6,4.088,2.689,3.321,0.854,0.75,1.0,0.833,0.357,-0.067,-0.0,0.0,-0.354,0.714,0.0,0.007,4,0.4,300,15,1X+2X
7,4.547,2.95,3.506,0.845,1.0,1.0,1.0,0.286,-0.05,-0.0,0.0,-0.226,0.482,0.211,0.003,4,0.4,300,15,1X+2X
8,4.547,3.137,3.647,0.845,1.0,1.0,1.0,0.286,-0.05,-0.0,0.0,-0.226,0.482,0.211,0.007,4,0.4,300,15,1X+2X
9,4.547,3.295,3.783,0.845,1.0,1.0,1.0,0.286,-0.05,-0.0,0.0,-0.226,0.482,0.211,0.013,4,0.4,300,15,1X+2X
10,4.547,3.512,3.909,0.845,1.0,1.0,1.0,0.286,-0.05,-0.0,0.0,-0.226,0.482,0.211,0.03,4,0.4,300,15,1X+2X
11,4.547,3.614,4.022,0.845,1.0,1.0,1.0,0.286,-0.05,-0.0,0.0,-0.226,0.482,0.211,0.06,4,0.4,300,15,1X+2X
12,4.643,3.749,4.135,0.762,1.0,1.0,0.833,0.643,-0.05,-0.0,0.0,-0.285,0.319,0.421,0.003,4,0.4,300,15,1X+2X
13,4.643,3.876,4.218,0.762,1.0,1.0,0.833,0.643,-0.05,-0.0,0.0,-0.285,0.319,0.421,0.007,4,0.4,300,15,1X+2X
14,4.83,3.974,4.3,0.795,1.0,1.0,0.85,0.714,0.0,-0.0,0.0,-0.243,0.38,0.333,0.003,4,0.4,300,15,1X+2X
15,4.83,4.088,4.379,0.795,1.0,1.0,0.85,0.714,0.0,-0.0,0.0,-0.243,0.38,0.333,0.007,4,0.4,300,15,1X+2X
16,4.858,4.149,4.448,0.879,1.0,1.0,1.0,0.714,-0.056,-0.0,0.0,-0.243,0.328,0.235,0.003,4,0.4,300,15,1X+2X
17,4.858,4.24,4.502,0.879,1.0,1.0,1.0,0.714,-0.056,-0.0,0.0,-0.243,0.328,0.235,0.013,4,0.4,300,15,1X+2X
18,4.885,4.332,4.56,0.76,1.0,1.0,0.85,0.714,0.0,-0.0,0.0,-0.171,0.38,0.353,0.003,4,0.4,300,15,1X+2X
19,4.885,4.391,4.613,0.76,1.0,1.0,0.85,0.714,0.0,-0.0,0.0,-0.171,0.38,0.353,0.007,4,0.4,300,15,1X+2X
20,4.909,4.424,4.661,0.843,1.0,1.0,1.0,0.714,-0.056,-0.0,0.0,-0.171,0.328,0.25,0.003,4,0.4,300,15,1X+2X
21,4.909,4.537,4.71,0.843,1.0,1.0,1.0,0.714,-0.056,-0.0,0.0,-0.171,0.328,0.25,0.007,4,0.4,300,15,1X+2X
22,4.909,4.547,4.758,0.843,1.0,1.0,1.0,0.714,-0.056,-0.0,0.0,-0.171,0.328,0.25,0.017,4,0.4,300,15,1X+2X
23,4.909,4.547,4.802,0.843,1.0,1.0,1.0,0.714,-0.056,-0.0,0.0,-0.171,0.328,0.25,0.06,4,0.4,300,15,1X+2X
