i,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
332,5.441,1.298,3.035,3.293,0.833,0.875,1.0,0.875,0.6,0.0,-0.026,0.0,-0.095,0.472,0.907,0.001,8,1.0,1000,50,NONE
333,4.901,1.183,3.06,3.291,0.825,0.75,1.0,0.763,0.467,0.0,-0.0,0.0,-0.161,0.402,0.854,0.001,8,1.0,1000,50,NONE
334,5.389,1.259,3.072,3.339,0.787,0.75,1.0,0.786,0.667,0.0,-0.0,0.0,-0.041,0.564,0.877,0.001,8,1.0,1000,50,NONE
335,5.0,1.215,3.054,3.239,0.784,0.812,0.5,0.75,0.533,0.0,-0.0,0.0,-0.031,0.678,0.974,0.001,8,1.0,1000,50,NONE
336,4.832,0.967,3.08,3.347,0.749,0.562,1.0,0.912,0.333,0.0,-0.025,0.0,-0.091,0.417,0.973,0.001,8,1.0,1000,50,NONE
337,5.055,1.255,3.05,3.276,0.748,0.5,1.0,1.0,0.267,0.0,-0.0,0.0,-0.116,0.793,0.864,0.001,8,1.0,1000,50,NONE
338,4.666,0.978,3.041,3.284,0.774,0.375,1.0,0.5,0.467,0.0,-0.022,0.0,-0.016,0.704,0.883,0.001,8,1.0,1000,50,NONE
339,5.065,1.406,3.085,3.33,0.796,0.875,1.0,0.727,0.6,0.0,-0.0,0.0,-0.075,0.393,0.749,0.001,8,1.0,1000,50,NONE
340,4.968,0.725,3.023,3.135,0.76,0.688,1.0,0.786,0.333,0.0,-0.0,0.0,-0.076,0.498,0.98,0.001,8,1.0,1000,50,NONE
341,5.088,1.098,3.043,3.182,0.78,0.625,1.0,0.833,0.533,0.0,-0.0,0.0,-0.154,0.669,0.801,0.001,8,1.0,1000,50,NONE
342,5.016,1.099,3.053,3.232,0.857,0.875,1.0,0.812,0.467,0.0,-0.0,0.0,-0.113,0.396,0.721,0.001,8,1.0,1000,50,NONE
343,4.831,1.078,3.133,3.436,0.771,0.688,1.0,0.679,0.333,0.0,-0.0,0.0,0.0,0.385,0.976,0.001,8,1.0,1000,50,NONE
344,4.937,1.247,3.141,3.434,0.79,0.5,1.0,1.0,0.467,0.0,-0.022,0.0,-0.15,0.484,0.868,0.001,8,1.0,1000,50,NONE
345,5.056,1.108,3.074,3.325,0.771,0.75,1.0,0.719,0.4,0.0,-0.0,0.0,-0.109,0.552,0.972,0.001,8,1.0,1000,50,NONE
346,4.902,1.12,3.091,3.315,0.787,0.938,0.5,0.679,0.467,0.0,-0.0,0.0,-0.072,0.699,0.906,0.001,8,1.0,1000,50,NONE
347,4.95,1.17,3.003,3.089,0.766,0.688,1.0,0.906,0.4,0.0,-0.0,0.0,-0.086,0.326,0.952,0.001,8,1.0,1000,50,NONE
348,4.863,1.196,3.025,3.211,0.742,0.562,1.0,0.7,0.4,0.0,-0.0,0.0,-0.087,0.72,0.827,0.001,8,1.0,1000,50,NONE
349,4.978,1.117,3.068,3.352,0.792,0.625,1.0,0.769,0.267,0.0,-0.0,0.0,-0.08,0.63,0.974,0.001,8,1.0,1000,50,NONE
350,4.835,1.137,3.082,3.297,0.779,0.562,1.0,0.75,0.467,0.0,-0.047,0.0,-0.062,0.578,0.807,0.001,8,1.0,1000,50,NONE
351,5.034,1.127,3.064,3.312,0.771,0.688,1.0,0.679,0.4,0.0,-0.0,0.0,-0.067,0.591,0.972,0.001,8,1.0,1000,50,NONE
352,4.961,1.051,3.09,3.371,0.787,0.812,1.0,0.571,0.333,0.0,-0.0,0.0,-0.071,0.631,0.896,0.001,8,1.0,1000,50,NONE
353,5.019,1.039,3.055,3.292,0.76,0.438,1.0,0.786,0.467,0.0,-0.0,0.0,-0.073,0.688,0.955,0.001,8,1.0,1000,50,NONE
354,4.716,1.088,3.073,3.311,0.752,0.5,1.0,0.727,0.533,0.0,-0.0,0.0,-0.036,0.437,0.802,0.001,8,1.0,1000,50,NONE
355,5.067,1.01,3.033,3.062,0.811,0.938,0.5,0.833,0.533,0.0,-0.0,0.0,-0.101,0.713,0.839,0.001,8,1.0,1000,50,NONE
356,4.897,1.286,3.065,3.223,0.722,0.5,1.0,1.0,0.267,0.0,-0.0,0.0,-0.074,0.644,0.838,0.001,8,1.0,1000,50,NONE
357,4.927,1.137,3.095,3.317,0.795,0.688,1.0,0.6,0.533,0.0,-0.0,0.0,-0.07,0.516,0.866,0.001,8,1.0,1000,50,NONE
358,5.238,1.254,3.052,3.296,0.746,0.812,1.0,0.679,0.467,0.0,-0.0,0.0,0.0,0.559,0.974,0.001,8,1.0,1000,50,NONE
359,5.219,1.389,3.063,3.263,0.792,0.812,1.0,0.906,0.4,0.0,-0.0,0.0,-0.052,0.482,0.878,0.001,8,1.0,1000,50,NONE
360,4.993,1.102,3.082,3.296,0.759,0.625,1.0,0.7,0.467,0.0,-0.0,0.0,0.0,0.468,0.974,0.002,8,1.0,1000,50,NONE
361,5.006,1.342,3.167,3.431,0.787,0.938,0.5,0.625,0.467,0.0,-0.0,0.0,-0.037,0.814,0.913,0.001,8,1.0,1000,50,NONE
362,5.012,1.33,3.078,3.234,0.743,0.688,1.0,0.7,0.267,0.0,-0.0,0.0,-0.049,0.708,0.956,0.001,8,1.0,1000,50,NONE
363,5.108,1.191,3.08,3.334,0.794,0.75,0.5,0.875,0.6,0.0,-0.0,0.0,-0.07,0.701,0.957,0.001,8,1.0,1000,50,NONE
