,half,quarter,eighth,16th
half,0.4966830454382104,0.013946876239620777,0.022890960895064896,0.0103582353929659
quarter,0.08083019596671831,0.33696707308293283,0.1311107840329229,0.12291916208101604
eighth,0.39923090171706127,0.6429670288097408,0.8335686819873982,0.37706990853550126
16th,0.023255856878010024,0.006119021867705624,0.01242957308461409,0.4896526939905168
