,half,quarter,eighth,16th
half,0.44234209551816367,0.09582041890089149,0.028026849702205633,0.021153285223846578
quarter,0.324640233934999,0.46500372710217047,0.18707445779335682,0.08746094371141132
eighth,0.19747746482585463,0.41887136793926955,0.7137757874023798,0.38224319067372525
16th,0.03554020572098265,0.02030448605766847,0.07112290510205768,0.5091425803910168
