i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
18,5.428,4.777,5.038,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.035,4,0.4,1000,50,1X+2X
14,5.512,4.217,4.662,0.781,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.094,0.909,0.416,0.001,4,0.4,1000,50,1X+2X
19,5.428,4.884,5.087,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.074,4,0.4,1000,50,1X+2X
15,5.574,4.359,4.799,0.844,1.0,1.0,1.0,0.429,0.0,-0.053,0.0,0.0,0.74,0.614,0.001,4,0.4,1000,50,1X+2X
20,5.428,4.972,5.129,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.133,4,0.4,1000,50,1X+2X
21,5.428,5.029,5.167,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.202,4,0.4,1000,50,1X+2X
16,5.574,4.475,4.928,0.844,1.0,1.0,1.0,0.429,0.0,-0.053,0.0,0.0,0.74,0.614,0.002,4,0.4,1000,50,1X+2X
22,5.428,5.04,5.199,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.27,4,0.4,1000,50,1X+2X
17,5.574,4.632,5.046,0.844,1.0,1.0,1.0,0.429,0.0,-0.053,0.0,0.0,0.74,0.614,0.004,4,0.4,1000,50,1X+2X
23,5.428,5.062,5.23,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.345,4,0.4,1000,50,1X+2X
18,5.574,4.743,5.152,0.844,1.0,1.0,1.0,0.429,0.0,-0.053,0.0,0.0,0.74,0.614,0.009,4,0.4,1000,50,1X+2X
24,5.428,5.068,5.262,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.431,4,0.4,1000,50,1X+2X
19,5.574,4.889,5.247,0.844,1.0,1.0,1.0,0.429,0.0,-0.053,0.0,0.0,0.74,0.614,0.02,4,0.4,1000,50,1X+2X
25,5.428,5.089,5.293,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.522,4,0.4,1000,50,1X+2X
20,5.574,4.997,5.326,0.844,1.0,1.0,1.0,0.429,0.0,-0.053,0.0,0.0,0.74,0.614,0.046,4,0.4,1000,50,1X+2X
26,5.428,5.089,5.322,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.602,4,0.4,1000,50,1X+2X
21,5.574,5.111,5.394,0.844,1.0,1.0,1.0,0.429,0.0,-0.053,0.0,0.0,0.74,0.614,0.11,4,0.4,1000,50,1X+2X
27,5.428,5.092,5.35,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.686,4,0.4,1000,50,1X+2X
22,5.574,5.214,5.452,0.844,1.0,1.0,1.0,0.429,0.0,-0.053,0.0,0.0,0.74,0.614,0.18,4,0.4,1000,50,1X+2X
28,5.428,5.171,5.376,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.769,4,0.4,1000,50,1X+2X
23,5.574,5.248,5.494,0.844,1.0,1.0,1.0,0.429,0.0,-0.053,0.0,0.0,0.74,0.614,0.287,4,0.4,1000,50,1X+2X
29,5.428,5.179,5.391,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.834,4,0.4,1000,50,1X+2X
30,5.428,5.179,5.406,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.895,4,0.4,1000,50,1X+2X
24,5.62,5.337,5.525,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.492,0.001,4,0.4,1000,50,1X+2X
31,5.428,5.219,5.421,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,0.96,4,0.4,1000,50,1X+2X
25,5.62,5.418,5.548,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.492,0.003,4,0.4,1000,50,1X+2X
32,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
26,5.62,5.512,5.561,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.492,0.009,4,0.4,1000,50,1X+2X
33,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
27,5.62,5.512,5.57,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.492,0.022,4,0.4,1000,50,1X+2X
34,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
28,5.62,5.512,5.577,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.492,0.056,4,0.4,1000,50,1X+2X
35,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
29,5.62,5.574,5.583,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.492,0.118,4,0.4,1000,50,1X+2X
36,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
30,5.62,5.574,5.589,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.492,0.198,4,0.4,1000,50,1X+2X
37,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
31,5.62,5.574,5.595,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.492,0.289,4,0.4,1000,50,1X+2X
38,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
32,5.628,5.574,5.603,0.781,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.469,0.001,4,0.4,1000,50,1X+2X
39,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
33,5.628,5.574,5.609,0.781,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.469,0.002,4,0.4,1000,50,1X+2X
40,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
34,5.628,5.574,5.616,0.781,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.469,0.006,4,0.4,1000,50,1X+2X
41,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
35,5.628,5.62,5.62,0.781,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.469,0.012,4,0.4,1000,50,1X+2X
42,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
43,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
36,5.628,5.62,5.62,0.781,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.469,0.03,4,0.4,1000,50,1X+2X
44,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
37,5.628,5.62,5.621,0.781,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.469,0.075,4,0.4,1000,50,1X+2X
45,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
38,5.628,5.62,5.621,0.781,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.469,0.149,4,0.4,1000,50,1X+2X
46,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
39,5.628,5.62,5.622,0.781,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.031,0.909,0.469,0.258,4,0.4,1000,50,1X+2X
47,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
40,5.651,5.62,5.624,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.909,0.492,0.001,4,0.4,1000,50,1X+2X
48,5.428,5.428,5.428,0.75,1.0,1.0,1.0,0.429,-0.053,-0.053,0.0,0.0,0.74,0.614,1.0,4,0.4,1000,50,1X+2X
41,5.651,5.62,5.625,0.75,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.909,0.492,0.003,4,0.4,1000,50,1X+2X
