,half,quarter,eighth,16th
half,0.39437081332698654,0.05543559910245961,0.022248989579546113,0.00901656603809141
quarter,0.42838637176624145,0.3453267678418678,0.10178357756421476,0.0522647025468736
eighth,0.138601564553134,0.5786185784835429,0.7825788855290463,0.43858371833540555
16th,0.038641250353638024,0.020619054572129706,0.09338854732719279,0.5001350130796294
