I,I_CONV,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
500,-1,5.620478648,5.620478648,5.620478648,0.857142857,1,1,1,0.5,0,0,0,0,0.88238341,0.380952381,1,4,0.4,1000,50,UX
500,-1,5.700388566,5.700388566,5.700388566,0.830357143,1,1,1,0.571428571,0,0,0,-0.200892857,0.899495709,0.6,1,4,0.4,1000,50,UX
500,-1,5.723292842,5.723292842,5.723292842,0.794642857,1,1,1,0.714285714,0,0,0,0,0.941636998,0.272727273,0.349,4,0.4,1000,50,UX
