i,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
36,3.577,1.418,1.924,1.867,0.8,0.812,1.0,0.786,0.0,0.0,-0.0,0.0,-0.294,0.291,0.182,0.001,8,0.5,1000,50,NONE
37,3.577,1.401,1.924,1.877,0.8,0.812,1.0,0.786,0.0,0.0,-0.0,0.0,-0.294,0.291,0.182,0.001,8,0.5,1000,50,NONE
38,3.39,1.396,1.927,1.88,0.737,0.688,1.0,0.786,0.0,0.0,-0.0,0.0,-0.294,0.291,0.182,0.001,8,0.5,1000,50,NONE
39,3.39,1.411,1.929,1.867,0.737,0.688,1.0,0.786,0.0,0.0,-0.0,0.0,-0.294,0.291,0.182,0.001,8,0.5,1000,50,NONE
40,3.39,1.414,1.934,1.873,0.737,0.688,1.0,0.786,0.0,0.0,-0.0,0.0,-0.294,0.291,0.182,0.001,8,0.5,1000,50,NONE
41,3.379,1.423,1.936,1.864,0.529,0.625,1.0,0.308,0.233,0.0,-0.0,0.0,-0.139,0.65,0.172,0.001,8,0.5,1000,50,NONE
42,3.403,1.428,1.95,1.899,0.627,0.688,1.0,0.618,0.167,0.0,-0.031,0.0,-0.327,0.441,0.222,0.001,8,0.5,1000,50,NONE
43,4.024,1.433,1.946,1.87,0.682,0.625,1.0,1.0,0.2,0.0,-0.0,0.0,-0.365,0.649,0.233,0.001,8,0.5,1000,50,NONE
44,4.024,1.441,1.956,1.902,0.682,0.625,1.0,1.0,0.2,0.0,-0.0,0.0,-0.365,0.649,0.233,0.001,8,0.5,1000,50,NONE
45,4.011,1.428,1.937,1.885,0.682,0.625,1.0,1.0,0.2,0.0,-0.0,0.0,-0.365,0.649,0.219,0.001,8,0.5,1000,50,NONE
46,3.408,1.416,1.936,1.866,0.671,0.688,1.0,0.538,0.033,0.0,-0.0,0.0,-0.23,0.551,0.157,0.001,8,0.5,1000,50,NONE
47,3.367,1.436,1.932,1.857,0.616,0.688,1.0,0.5,0.267,0.0,-0.05,0.0,-0.184,0.422,0.108,0.001,8,0.5,1000,50,NONE
48,3.358,1.403,1.926,1.866,0.68,0.5,1.0,0.625,0.233,0.0,-0.0,0.0,-0.205,0.41,0.114,0.001,8,0.5,1000,50,NONE
49,3.431,1.406,1.923,1.864,0.703,0.5,1.0,0.625,0.2,0.0,-0.0,0.0,-0.224,0.419,0.208,0.001,8,0.5,1000,50,NONE
50,3.332,1.447,1.952,1.901,0.6,0.25,1.0,0.85,0.2,0.0,-0.0,0.0,-0.365,0.609,0.188,0.001,8,0.5,1000,50,NONE
51,3.332,1.326,1.922,1.875,0.6,0.25,1.0,0.85,0.2,0.0,-0.0,0.0,-0.365,0.609,0.188,0.001,8,0.5,1000,50,NONE
