i,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
240,3.305,1.375,1.895,1.84,0.537,0.312,1.0,0.812,0.067,0.0,-0.0,0.0,-0.193,0.615,0.154,0.001,8,0.5,1000,50,NONE
241,3.305,1.36,1.895,1.842,0.537,0.312,1.0,0.812,0.067,0.0,-0.0,0.0,-0.193,0.615,0.154,0.001,8,0.5,1000,50,NONE
242,3.198,1.373,1.912,1.87,0.745,0.375,1.0,0.7,0.133,0.0,-0.023,0.0,-0.302,0.467,0.103,0.001,8,0.5,1000,50,NONE
243,3.112,1.383,1.92,1.888,0.774,0.438,1.0,0.528,0.067,0.0,-0.0,0.0,-0.13,0.335,0.102,0.001,8,0.5,1000,50,NONE
244,3.09,1.403,1.92,1.872,0.579,0.25,1.0,0.591,0.133,-0.044,-0.0,0.0,-0.2,0.681,0.1,0.001,8,0.5,1000,50,NONE
245,3.179,1.33,1.904,1.864,0.59,0.438,0.5,1.0,0.133,-0.018,-0.0,0.0,-0.215,0.539,0.213,0.001,8,0.5,1000,50,NONE
246,3.493,1.375,1.905,1.856,0.825,0.688,1.0,0.75,0.067,0.0,-0.0,0.0,-0.196,0.359,0.0,0.001,8,0.5,1000,50,NONE
247,3.519,1.377,1.915,1.853,0.697,0.312,1.0,0.688,0.167,0.0,-0.026,0.0,-0.176,0.606,0.25,0.001,8,0.5,1000,50,NONE
248,3.519,1.344,1.909,1.853,0.697,0.312,1.0,0.688,0.167,0.0,-0.026,0.0,-0.176,0.606,0.25,0.001,8,0.5,1000,50,NONE
249,3.312,1.359,1.912,1.854,0.724,0.5,1.0,0.625,0.067,-0.026,-0.0,0.0,-0.206,0.467,0.162,0.001,8,0.5,1000,50,NONE
250,3.312,1.364,1.908,1.844,0.724,0.5,1.0,0.625,0.067,-0.026,-0.0,0.0,-0.206,0.467,0.162,0.001,8,0.5,1000,50,NONE
251,3.62,1.376,1.921,1.855,0.702,0.562,1.0,0.786,0.167,0.0,-0.0,0.0,-0.243,0.513,0.134,0.001,8,0.5,1000,50,NONE
252,3.769,1.381,1.923,1.858,0.658,0.812,1.0,0.708,0.1,-0.038,-0.0,0.0,-0.124,0.575,0.078,0.001,8,0.5,1000,50,NONE
253,3.769,1.388,1.917,1.849,0.658,0.812,1.0,0.708,0.1,-0.038,-0.0,0.0,-0.124,0.575,0.078,0.001,8,0.5,1000,50,NONE
254,3.4,1.401,1.922,1.865,0.598,0.625,0.5,0.625,0.3,0.0,-0.0,0.0,-0.098,0.501,0.349,0.001,8,0.5,1000,50,NONE
255,3.4,1.387,1.915,1.856,0.598,0.625,0.5,0.625,0.3,0.0,-0.0,0.0,-0.098,0.501,0.349,0.001,8,0.5,1000,50,NONE
256,3.213,1.406,1.91,1.85,0.644,0.812,0.5,0.708,0.1,-0.019,-0.0,0.0,-0.11,0.509,0.069,0.001,8,0.5,1000,50,NONE
257,3.468,1.386,1.912,1.855,0.688,0.5,1.0,0.647,0.267,0.0,-0.033,0.0,-0.094,0.279,0.214,0.001,8,0.5,1000,50,NONE
258,3.468,1.396,1.911,1.853,0.688,0.5,1.0,0.647,0.267,0.0,-0.033,0.0,-0.094,0.279,0.214,0.001,8,0.5,1000,50,NONE
259,3.202,1.406,1.915,1.865,0.709,0.562,1.0,0.545,0.1,0.0,-0.043,0.0,-0.165,0.379,0.114,0.001,8,0.5,1000,50,NONE
