,half,quarter,eighth,16th
half,0.5269646402262914,0.07377394329157605,0.015881700273358515,0.00979675020700404
quarter,0.25786154449902404,0.4528103753470967,0.20020211479715636,0.11790664699018238
eighth,0.17934118786374392,0.4479535844510513,0.6995587723214034,0.3378189007556718
16th,0.035832627410940614,0.025462096910275903,0.08435741260808172,0.5344777020471417
