i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
38,5.316,4.635,5.064,0.793,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,-0.143,0.874,0.264,0.003,4,0.5,300,5,1X+2X
39,5.316,4.635,5.086,0.793,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,-0.143,0.874,0.264,0.003,4,0.5,300,5,1X+2X
40,5.316,4.635,5.11,0.793,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,-0.143,0.874,0.264,0.003,4,0.5,300,5,1X+2X
41,5.316,4.702,5.132,0.793,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,-0.143,0.874,0.264,0.003,4,0.5,300,5,1X+2X
42,5.316,4.79,5.155,0.793,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,-0.143,0.874,0.264,0.007,4,0.5,300,5,1X+2X
43,5.387,4.951,5.174,0.793,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.874,0.192,0.003,4,0.5,300,5,1X+2X
44,5.387,4.955,5.188,0.793,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.874,0.192,0.003,4,0.5,300,5,1X+2X
45,5.387,4.984,5.204,0.793,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.874,0.192,0.003,4,0.5,300,5,1X+2X
46,5.387,4.984,5.218,0.793,1.0,1.0,1.0,0.571,-0.043,-0.0,0.0,0.0,0.874,0.192,0.007,4,0.5,300,5,1X+2X
47,5.458,4.984,5.235,0.893,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.143,0.954,0.253,0.003,4,0.5,300,5,1X+2X
