,half,quarter,eighth,16th
half,0.5086705379860912,0.08688245796109131,0.029850934614573353,0.015383743483676745
quarter,0.3872814960460307,0.47359287800456207,0.2069660324383263,0.13461616819180994
eighth,0.0924872394859417,0.4207853113940409,0.6497511142927854,0.34230775622762283
16th,0.011560726481936352,0.018739352640305715,0.11343191865431493,0.5076923320968905
