,half,quarter,eighth,16th
half,0.7729729704321392,0.159763314293511,0.028953229721257315,0.03508771899750271
quarter,0.13513513646895547,0.44378698236122754,0.13808463225546563,0.1228070164912595
eighth,0.08108108225723386,0.38461538384261057,0.7728285074710872,0.3859649118299319
16th,0.010810810841671523,0.011834319502650875,0.06013363055218994,0.4561403526813058
