I,I_CONV,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
500,-1,5.467849708262752,0.24080974495061175,1.959609779926735,0.6676994054556555,0.298625,-0.4475,0.5225728826728808,0.1901428571428573,-0.061798119219310915,-0.01587694492167773,-0.0005,-0.021502029220779265,0.4171570461902423,0.4105896818268664,0.001,4,0.4,1000,50,NONE
500,-1,5.199404761904762,-0.17872106737431812,1.5603370398442624,0.6582504523254517,0.27675,-0.4215,0.49831887834387684,0.1565714285714282,-0.05454582519899377,-0.016848810438231193,-0.00025,-0.08155286727161731,0.40735606671957436,0.13778771679277413,0.001,4,0.4,1000,50,NONE
500,-1,5.199404761904762,-0.08809523809523816,1.6788658016199123,0.6644481927794419,0.277375,-0.3185,0.506261935286934,0.15199999999999986,-0.06691063649450325,-0.015825202662279592,-0.0005,-0.0456937049062048,0.407646906090178,0.11856331152634737,0.001,4,0.4,1000,50,NONE
500,-1,5.12797619047619,-0.01306880076445295,1.6722354829697945,0.6663308531746034,0.2955,-0.3525,0.5305594017094005,0.15885714285714256,-0.07214147991631914,-0.016448921706325854,-0.0015,-0.06117186147186127,0.4139123781047315,0.11083797021842097,0.001,4,0.4,1000,50,NONE
500,-1,5.52375192923019,0.45059523809523805,2.22889334131474,0.7011471514596517,0.33775,-0.2465,0.5579441308691303,0.22707142857142815,-0.02490249217582477,-0.01584657418585748,-0.001,-0.041737036574536555,0.40350241030236145,0.33146432304839013,0.001,4,0.4,1000,50,NONE
500,-1,5.032052444335053,-0.48978937728937744,1.3344869881755466,0.6058165140415134,0.168625,-0.4245,0.4151826021201009,0.14021428571428507,-0.060199045802849606,-0.016506433962034894,-0.001,-0.07375903332778315,0.4072339370547139,0.1733791623375977,0.001,4,0.4,1000,50,NONE
500,-1,5.285714285714286,-0.1487957304133774,1.5613566487136366,0.6597081952769459,0.2785,-0.369,0.4901805014429999,0.1387857142857136,-0.07388926119444668,-0.016491420792012924,-0.0005,-0.06852692654567633,0.4177942394333019,0.10479560680680759,0.001,4,0.4,1000,50,NONE
500,-1,5.3298859473859475,0.2657510197061281,2.0280105470546936,0.69032297008547,0.318,-0.348,0.5479166222666216,0.20164285714285646,-0.03354070422603229,-0.014665655557136708,-0.00125,-0.1913682407869911,0.4111883994303752,0.4477642986995288,0.002,4,0.4,1000,50,NONE
500,-1,5.285714285714286,0.05202973497091147,1.721969233484539,0.6826550595238086,0.31375,-0.279,0.5360401751026734,0.13821428571428518,-0.07228396165461896,-0.014531909003894306,-0.00025,-0.07645082903207885,0.4241663505714046,0.0696600622629547,0.001,4,0.4,1000,50,NONE
500,-1,5.095521087608044,-0.34215056682447986,1.565185683815166,0.575942291736041,0.156125,-0.332,0.3688629342879342,0.17349999999999985,-0.026725606415067174,-0.016956019235816588,-0.00325,-0.05770737734487719,0.4209815714224157,0.30641288936453587,0.001,4,0.4,1000,50,NONE
500,-1,4.946428571428571,-0.10236362510275546,1.6303791202711764,0.6748782196969688,0.299625,-0.271,0.5101811355311342,0.1312857142857135,-0.11121727567906038,-0.016672672957673617,-0.00175,-0.07406130952380939,0.4135168797779716,0.07559342913992749,0.001,4,0.4,1000,50,NONE
500,-1,5.210814044916212,-0.21856970858518845,1.4030270172713117,0.6303220189532683,0.232875,-0.4835,0.46191180624930456,0.13071428571428498,-0.057127889569283344,-0.016625832489635523,-0.00125,-0.08238239468864465,0.4066004521151246,0.1814895709868886,0.001,4,0.4,1000,50,NONE
500,-1,5.12797619047619,-0.058982683982684095,1.662096326401946,0.6706770382395371,0.292625,-0.269,0.5046975801975794,0.15492857142857125,-0.09894764849999377,-0.01670620562298223,-0.00025,-0.06662998112998095,0.4077877176831487,0.08291425410606197,0.001,4,0.4,1000,50,NONE
