,half,quarter,eighth,16th
half,0.831275720164609,0.22413793103448276,0.04093567251461988,0.03571428571428571
quarter,0.08641975308641975,0.39655172413793105,0.14035087719298245,0.03571428571428571
eighth,0.0823045267489712,0.3793103448275862,0.7807017543859649,0.39285714285714285
16th,0.0,0.0,0.038011695906432746,0.5357142857142857
