I,I_CONV,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
500,-1,5.392193105312301,5.392193105312301,5.39219310531223,0.8333333333333433,1.0,1.0,1.0,0.5714285714285648,0.0,0.0,0.0,-0.2083333333333358,0.86243120055041,0.3333333333333318,0.779,4,0.4,1000,50,1X+2X
500,51,5.379462481962482,5.379462481962482,5.379462481962382,1.0,1.0,1.0,1.0,0.5714285714285648,-0.08333333333333295,0.0,0.0,-0.0625,0.7720490620490635,0.18181818181818493,1.0,4,0.4,1000,50,1X+2X
500,50,5.391385963967234,5.391385963967234,5.391385963967232,0.84375,1.0,1.0,1.0,0.4285714285714319,0.0,-0.052631578947369397,0.0,-0.125,0.7401027077497699,0.556593406593392,1.0,4,0.4,1000,50,1X+2X
500,68,5.822009926777729,5.7734805150130235,5.7843025738365625,0.6964285714285632,1.0,1.0,1.0,0.6428571428571448,0.0,0.0,0.0,0.0,0.8012236756106065,0.6437931839402518,1.0,4,0.4,1000,50,1X+2X
500,107,5.554231618484714,5.554231618484714,5.554231618484669,0.96875,1.0,1.0,1.0,0.5714285714285648,-0.04545454545454623,0.0,0.0,0.0,0.8595075925106828,0.19999999999999718,1.0,4,0.4,1000,50,1X+2X
