,quarter,eighth,half,16th
quarter,0.9090897989854863,0.00012741419497484227,0.482758614665459,0.19476180456064957
eighth,1.2120527266904844e-05,0.0003322294450035921,7.805978616515717e-09,0.10562259883841822
half,0.09089807935147956,0.9995050583637901,0.5172413758644802,0.28165780275445745
16th,1.135767328602545e-09,3.529799623144793e-05,1.66408230602336e-09,0.4179577938464747
