I,I_CONV,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
300,-1,4.661309523809524,-1.4950980392156865,0.40709671410998893,0.524141767954268,0.06416666666666666,-0.7383333333333333,0.2640865800865798,0.048095238095238024,-0.0974885240893142,-0.017072319480092246,-0.009166666666666667,-0.059863143800643816,0.38668763978313403,0.04184280889415272,0.0033333333333333335,4,0.4,300,15,1X+2X
300,-1,4.455357142857142,-1.6564213564213561,0.538441286822867,0.5141553007178006,0.04666666666666667,-0.68,0.2999178506678505,0.08047619047619049,-0.09117819066071554,-0.018967051736044984,-0.0008333333333333334,-0.030578412328412335,0.39129625989074684,0.027486006462116967,0.0033333333333333335,4,0.4,300,15,1X+2X
300,-1,3.8928571428571432,-1.9693840579710145,0.13348282200077385,0.46814264670514677,-0.03333333333333333,-0.7,0.1762195027195028,0.04166666666666664,-0.15703543158236077,-0.016937157533322134,-0.0175,-0.05117800024050028,0.4008454961088271,0.022592432490147002,0.0033333333333333335,4,0.4,300,15,1X+2X
300,-1,4.149749373433584,-1.631640810170222,0.5273014938987874,0.541109187109187,0.051666666666666666,-0.675,0.3283921356421356,0.08333333333333334,-0.16205416315019341,-0.015007549120606672,-0.0008333333333333334,-0.055281174843674896,0.4003201082968803,0.03065628329839329,0.0033333333333333335,4,0.4,300,15,1X+2X
300,-1,4.282142857142857,-1.7070659603554341,0.359103707161424,0.49930919312169314,0.009166666666666667,-0.6416666666666667,0.2293838013838012,0.06261904761904756,-0.15059493950551786,-0.017985283770271955,-0.008333333333333333,-0.038021584896584894,0.3924391718232593,0.022787634719329822,0.0033333333333333335,4,0.4,300,15,1X+2X
300,-1,4.3125,-1.6916666666666664,0.3113088410590337,0.48654145622895634,0.0033333333333333335,-0.6716666666666666,0.23205383967883947,0.06071428571428566,-0.14724653400244903,-0.015122229091392724,-0.0033333333333333335,-0.06260693241943247,0.40266411900624693,0.025977502610645412,0.0033333333333333335,4,0.4,300,15,1X+2X
300,-1,4.455357142857143,-2.1786796536796533,0.2716402946116746,0.4903870851370851,-0.020833333333333332,-0.7183333333333334,0.22525629925629906,0.055476190476190436,-0.12469653035703135,-0.01642526246882268,-0.0033333333333333335,-0.04632942520442524,0.39531296857589115,0.03515896919648784,0.0033333333333333335,4,0.4,300,15,1X+2X
300,-1,4.269769119769119,-1.7011904761904761,0.5643682564502257,0.5222455553705558,0.06458333333333334,-0.6116666666666667,0.29676446238946225,0.0814285714285714,-0.11994518416286508,-0.017973137511821807,-0.0033333333333333335,-0.07243728956228959,0.3971034080199773,0.02759853714530157,0.0033333333333333335,4,0.4,300,15,1X+2X
300,-1,3.897619047619047,-1.7705627705627707,0.15415214386318796,0.4611759097384095,-0.06416666666666666,-0.6516666666666666,0.17990387390387397,0.05642857142857136,-0.14807985429885953,-0.01538941705978333,-0.008333333333333333,-0.08280138611388616,0.39811394595055943,0.028967166980969128,0.0033333333333333335,4,0.4,300,15,1X+2X
300,-1,4.250076129057822,-2.1534632034632035,0.2620769006176446,0.4634978655603656,-0.04791666666666667,-0.6483333333333333,0.2114173095423092,0.06238095238095236,-0.13518732755003543,-0.01760310541757124,-0.009166666666666667,-0.05651025132275132,0.41585919353220957,0.023638930558831893,0.0033333333333333335,4,0.4,300,15,1X+2X
