i,MAX_F,MIN_F,MEAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,3.983,-0.536,0.932,0.754,0.5,0.5,1.0,0.429,0.0,-0.0,0.0,-0.406,0.831,0.376,0.002,4,0.4,1000,50,1X+2X
1,3.983,0.109,1.526,0.754,0.5,0.5,1.0,0.429,0.0,-0.0,0.0,-0.406,0.831,0.376,0.004,4,0.4,1000,50,1X+2X
2,3.983,0.717,2.107,0.754,0.5,0.5,1.0,0.429,0.0,-0.0,0.0,-0.406,0.831,0.376,0.008,4,0.4,1000,50,1X+2X
3,3.983,1.35,2.586,0.754,0.5,0.5,1.0,0.429,0.0,-0.0,0.0,-0.406,0.831,0.376,0.016,4,0.4,1000,50,1X+2X
4,4.768,1.984,2.954,1.0,1.0,1.0,1.0,0.143,0.0,-0.0,0.0,-0.375,1.0,0.0,0.001,4,0.4,1000,50,1X+2X
5,4.768,2.358,3.237,1.0,1.0,1.0,1.0,0.143,0.0,-0.0,0.0,-0.375,1.0,0.0,0.002,4,0.4,1000,50,1X+2X
6,4.768,2.768,3.482,1.0,1.0,1.0,1.0,0.143,0.0,-0.0,0.0,-0.375,1.0,0.0,0.004,4,0.4,1000,50,1X+2X
7,4.827,3.056,3.693,0.792,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,-0.083,0.53,0.231,0.001,4,0.4,1000,50,1X+2X
8,4.875,3.258,3.892,1.0,1.0,1.0,1.0,0.143,-0.143,-0.0,0.0,-0.125,1.0,0.0,0.001,4,0.4,1000,50,1X+2X
9,5.114,3.489,4.063,0.958,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.656,0.0,0.001,4,0.4,1000,50,1X+2X
10,5.161,3.671,4.216,1.0,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,1.0,0.0,0.001,4,0.4,1000,50,1X+2X
11,5.161,3.837,4.36,1.0,1.0,1.0,1.0,0.286,0.0,-0.0,0.0,-0.125,1.0,0.0,0.002,4,0.4,1000,50,1X+2X
12,5.284,3.983,4.499,0.865,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.736,0.254,0.002,4,0.4,1000,50,1X+2X
13,5.284,4.12,4.621,0.865,1.0,1.0,1.0,0.429,0.0,-0.0,0.0,0.0,0.736,0.254,0.006,4,0.4,1000,50,1X+2X
14,5.357,4.269,4.741,1.0,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,0.0,1.0,0.0,0.001,4,0.4,1000,50,1X+2X
15,5.357,4.426,4.841,1.0,1.0,1.0,1.0,0.357,0.0,-0.0,0.0,0.0,1.0,0.0,0.002,4,0.4,1000,50,1X+2X
16,5.391,4.533,4.939,0.74,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.899,0.252,0.001,4,0.4,1000,50,1X+2X
17,5.391,4.586,5.034,0.74,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.899,0.252,0.002,4,0.4,1000,50,1X+2X
18,5.391,4.758,5.117,0.74,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,0.0,0.899,0.252,0.004,4,0.4,1000,50,1X+2X
