,half,quarter,eighth,16th
half,0.5303973198347818,0.10859742657500993,0.018665659294417665,0.028843856970624273
quarter,0.25960737501210185,0.4794317804702072,0.19021848312839507,0.08172419208465875
eighth,0.14921497174817722,0.3988622027801865,0.7271121856753076,0.32212473237458017
16th,0.06078033340493907,0.013108590174596304,0.0640036719018798,0.5673072185701368
