,half,quarter,eighth,16th
half,0.5041162191858419,0.08597456669866098,0.03109088292886472,0.05071002979269462
quarter,0.2708903555284296,0.4946768620763311,0.22431329527443597,0.10581895659527975
eighth,0.21134198472392615,0.4007988207971855,0.6790869078622628,0.34286034024116324
16th,0.013651440561802347,0.018549750427822417,0.0655089139344365,0.5006106733708624
