,half,quarter,eighth,16th
half,0.4196138745809409,0.06684176538118519,0.016794876454115117,0.015799903408087707
quarter,0.37929679101281527,0.47686077943800326,0.204552560992002,0.13200492826200788
eighth,0.18790000375353383,0.4303562362243405,0.6797146979986262,0.3495114416202293
16th,0.01318933065271,0.025941218956471085,0.0989378645552567,0.5026837267096751
