,half,quarter,eighth,16th
half,0.4917762301562333,0.08743961993441887,0.002649190126431066,0.00807278003212129
quarter,0.441434338806438,0.2731330834982767,0.2041737580696666,0.14592653169258346
eighth,0.05321759576521025,0.6345462165302395,0.7757338507612039,0.2973522396408662
16th,0.013571835272118395,0.004881080037064971,0.017443201042698347,0.548648448634429
